DOUGLAS (MONKSFOOT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS787285,Long,-3.923536,Lat,55.535099,Elevation,780,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5187/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.7,7.76,8.61,4.33,2.19,0.77,4.92,5.21,7,3.54,5.22,3.9,6.49,6.72,4.05,5.22,4.71,3.05,5.57,3.06,3.78,5.57,4.72,1.96,4.09
February,,,,,,3.1,5.46,2.7,6.89,1.85,3.9,1.34,6.48,1.84,7.98,3.96,0.67,4.96,6.25,5.05,2.95,2.02,2.06,2.8,1.47,1.84,3.09,3.78,1.86,4.12
March,,,,,,3.58,1.24,3.76,5.36,5.94,2.87,1.9,2.79,1.11,3.43,2.22,3.7,5.02,2.64,4.53,4.09,2.07,1.09,3.45,1.46,3.52,4.42,1.5,3.01,2.15
April,,,,,,2,2.45,0.97,3.18,3.14,1.83,2.03,3.62,3.02,1.79,2.24,5.38,4.65,5.27,5.1,4.2,3.23,2.67,1.83,2.38,1.52,2.3,2.36,4.26,3.93
May,,,,,,1.79,2.23,4.52,0.9,1.94,5.12,3.13,4.63,3.42,4.93,1.17,4.58,1.34,1.89,2.46,2.11,3.23,2.7,5.45,4.11,2.4,2.88,3.01,1.42,1.89
June,,,,,,2.23,2.94,5.76,2.38,1.15,0.9,1.34,5.21,3.89,4.71,3.15,3.32,5.08,1.08,3.11,1.96,3.04,2.17,4,2.35,3.64,1.65,3.34,3.11,2.37
July,,,,,,5.11,4.3,6.16,4.61,5.11,3.88,4.56,2.84,4.4,2.9,4.77,3.84,3.7,2.33,4.74,3.55,3.7,5.4,4.12,2.21,5.53,3.91,5.31,6.34,2.72
August,,,,,,3.3,3.74,3.59,1.9,2.79,7.4,4.14,4.43,4.77,1.71,2.7,0.14,6.04,4.1,6.47,6.98,4.68,2.97,4.73,1.99,7.88,6.66,5.47,1.15,4.04
September,,,,,,4.2,2.67,4.2,2.33,5.39,1.57,5.77,3.4,6.01,7.68,7.74,5,6.72,1.44,10.77,3.37,3.35,4.7,8.36,4.86,4.53,4.1,5.08,1.32,2.9
October,,,,,,8.37,4.87,9.35,2,4.73,4.45,8.79,8.06,4.38,4.87,0.81,2.73,5.29,6.1,5.84,1.23,3.8,3.51,9.97,3.83,4.08,5.44,4.05,8.27,3.01
November,,,,,,4.95,1.48,9.72,10.11,5.77,3.81,1.59,2.94,9.62,0.67,6.67,4.08,4.21,6.39,4.74,7.81,3.51,7.12,8.7,2.18,2.4,2.99,2.17,6.7,8.3
December,,,,,,7.57,2.28,3.87,2.99,7.19,3.16,7.25,3.38,6.44,3.54,3.83,2.57,5.73,10.25,1.98,8.28,4.45,5.11,9.1,8.81,7.92,5.55,6.74,6.39,7.19
Total,,,,,,52.9,41.42,63.21,46.98,47.19,39.66,46.76,52.99,55.9,47.75,44.48,39.91,59.23,54.46,58.84,51.75,41.79,42.55,68.08,38.71,49.04,48.56,47.53,45.79,46.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 deleted NP Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
