SWINDON-WROUGHTON (RECTORY),,,,,,,,,,,,,,,,,,,,
Grid ref ,SU138802 ,Long ,-1.802498,Lat ,51.520552,Elevation ,515,ft ,,,,,,,,,,,,
Station no ,1535,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January ,,,,1.35,,,0.54,1.64,0.28,4.38,2.85,1.46,1.26,3.18,3.95,0.56,3.49,,,
February ,,,,3.92,,,0.41,3.35,1.95,2.76,5.23,0.72,0.97,1.85,3.4,0.56,2.15,,,
March ,,,,0.82,,,3.1,3.57,0.61,0.55,1.17,1.69,1.36,4.03,1.42,3.73,1.81,,,
April ,,,,0,,,0.86,2.16,1.85,2.99,1.43,2.25,1.16,2.58,1.91,2.54,0.75,,,
May ,,,,1.68,,,0.33,0.75,2.97,1.65,1.63,1.92,2.15,4.22,2.39,0.13,1.95,,,
June ,,,,1.25,,,1.09,3.25,1.32,1.49,2.17,1.87,3.37,5.91,1.07,3.43,3.29,,,
July ,,,,3.6,,,0.91,1.53,0.69,1.1,0.79,3.76,1.33,2.33,2.55,1.24,0.8,,,
August ,,,,1.02,,,2.06,5.18,1.63,2,2.27,2.31,3.68,4.16,2.57,3.26,1.55,,,
September ,,,,0.38,,,6.1,2.33,0.15,2.13,0.72,1.96,1.09,2.61,1.35,1.28,0.84,,,
October ,,,,5.41,,,3.55,1.41,4.69,2.96,2.53,1.57,1.77,6.2,0.9,1.94,5.43,,,
November ,,,,2.09,,,0.86,1.05,3.61,3,2.28,0.6,2.05,2.03,1.96,3.74,3.79,,,
December ,,,,2.74,,,3.3,3.93,2.88,2,4.2,4.2,2.24,1.83,1.73,1.26,2.01,,,
Total ,,,,24.26,36.17,27.55,23.11,30.15,22.63,27.01,27.27,24.31,22.43,40.93,25.2,23.67,27.86,,,
