CASTON-FLAXMOOR (OLD GAUGE),,,,,,,,,,,,,,,,,,,,,
Grid ref,TL956975,Long,0.8828572,Lat,52.540214,Elevation,150,ft,,,,,,,,,,,,,
Station no,1459,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.9,1.8,1.95,1.01,0.94,1.34,1.88,2.43,,,,
February,,,,,,,,,,0.48,0.67,2.25,1.04,2.11,0.59,1.93,,,,,
March,,,,,,,,,,0.08,0.9,0.41,1.58,2,1.25,0.64,,,,,
April,,,,,,,,,,0.77,2.25,3.54,3.16,1.25,2.23,2.91,,,,,
May,,,,,,,,,,1.4,2.94,2.8,3.93,1.29,1.35,1,,,,,
June,,,,,,,,,,0.82,0.93,1.71,0.55,1.98,1.73,2.78,,,,,
July,,,,,,,,,,2.88,4.27,3.62,2.15,2.09,1.41,0.58,,,,,
August,,,,,,,,,,1.32,1.9,4.33,1.39,0.87,1.36,1.13,,,,,
September,,,,,,,,,,0.83,4.85,2.15,1.34,2.77,2.31,4.03,,,,,
October,,,,,,,,,,3.54,0.91,1.03,4.35,2.38,1.04,2.98,,,,,
November,,,,,,,,,,3.9,3.02,2.12,1.53,1.93,1.35,3.31,,,,,
December,,,,,,,,,,4.46,1.96,1.14,0.7,0.53,3.99,1.74,,,,,
Total,,,,,,,,,,22.38,26.4,27.05,22.73,20.14,19.95,24.91,,,,,
,,,,,,,,,,,,,,,,,,,,,
1925-1928 deleted due to uncertainty in values and corrections applied to annual totals,,,,,,,,,,,,,,,,,,,,,
