BALLATER (BIRKHALL SAWMILL),,,,,,,,,,,,
Grid ref,NO349936,Long,-3.074097,Lat,57.028894,,,,,,,
Station no,5629/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.33,1.06,2.45,1.83,4.36,3.77,2.61,2.67,4.12,,
February,,1.09,1.26,2.53,3.64,2.19,3.79,4.39,0.25,3.75,,
March,,2.21,0.31,2.41,1.13,2.36,2.29,4.54,1.72,1.25,,
April,,0.88,2.82,1.11,0.44,1.78,1.23,1.98,2.30,2.30,,
May,,2.43,1.74,5.71,2.88,0.60,1.36,2.92,1.17,1.11,,
June,,2.11,3.35,1.40,0.52,2.81,2.42,3.34,2.09,1.15,,
July,,1.74,5.59,2.25,0.94,4.36,7.17,5.79,2.84,2.34,,
August,,6.58,1.60,2.89,0.56,5.23,4.59,3.35,1.38,6.76,,
September,,1.39,3.02,2.05,1.93,4.78,2.39,2.23,0.75,3.04,,
October,,5.30,1.57,5.43,2.78,2.63,1.08,2.10,4.71,9.80,,
November,10.51,3.30,2.93,7.62,1.87,1.52,1.88,0.59,7.57,4.26,,
December,2.99,3.45,3.41,3.79,6.09,6.75,5.22,6.05,7.62,2.68,,
Total,,32.81,28.66,39.64,24.61,39.37,37.19,39.89,35.07,42.56,,
Calc annual,13.50,32.81,28.66,39.64,24.61,39.37,37.19,39.89,35.07,42.56,,
Difference,NaN,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,,
