"NARBOROUGH (NARFORD HALL)",,,,,,,,,,,,
Grid ref,TF766139,Long,0.611773,Lat,52.693981,,,,,,,
Station no,1469/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.94,2.32,1.18,1.80,1.96,,,,3.53,3.62,,
February,2.50,1.11,1.59,2.39,2.91,,,,0.16,1.44,,
March,3.62,2.61,1.17,2.65,1.78,,,,1.36,0.86,,
April,2.96,1.57,1.99,0.29,0.69,,,,1.48,0.75,,
May,2.08,2.06,1.72,2.47,2.15,,,,0.56,0.70,,
June,1.11,0.56,4.42,2.07,2.02,,,,1.33,1.41,,
July,1.33,0.79,2.32,3.09,0.30,,,4.13,3.11,2.96,,
August,3.20,3.81,2.63,5.23,0.76,,,3.54,2.04,2.81,,
September,3.27,2.77,1.16,2.56,1.74,,,2.16,0.11,3.01,,
October,0.81,2.93,2.74,2.45,3.25,,,2.18,2.12,4.01,,
November,3.38,3.16,1.84,4.39,0.86,,,1.47,1.60,3.64,,
December,1.54,2.37,1.03,2.37,1.51,,,3.08,3.68,3.58,,
Total,28.74,26.06,23.79,31.76,19.93,,,,21.08,28.79,,
Calc annual,28.74,26.06,23.79,31.76,19.93,0.00,0.00,16.56,21.08,28.79,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,NaN,NaN,NaN,-0.00,0.00,,
