NARBOROUGH-NARFORD-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF766139,Long,0.611773,Lat,52.693981,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1469/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,3.19,3.58,2.47,4.52,1.56,2.38,3.51,4.37,2.37,3.51,2.33,1.83,4.02,0.91,0.88,2.94,2.32,1.18,1.8,1.96,,,,3.53,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.19,2.87,0.58,0.98,2.29,2.9,0.94,0.64,1.34,2.03,3.28,1.34,0.85,1.11,3.92,2.5,1.11,1.59,2.39,2.91,,,,0.16,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.5,0.58,3.51,0.44,2.35,2.09,3.04,1.84,0.5,0.36,1.5,0.56,4.78,0.68,0.78,0.59,3.62,2.61,1.17,2.65,1.78,,,,1.36,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,2.93,1.52,2.38,0.55,2.29,1.58,0.91,0.95,1.28,1.71,1.71,0.7,1.84,1.06,1.99,2.48,2.96,1.57,1.99,0.29,0.69,,,,1.48,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,0.62,1.06,2.33,2.02,0.58,1.18,2.14,2.07,2.12,1.18,1.89,1.22,0.41,2.85,2.52,2.36,2.08,2.06,1.72,2.47,2.15,,,,0.56,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.55,3.84,1.73,1.01,2.34,0.27,1.02,1.3,1.96,2.58,2.07,2.49,2.59,3.57,0.57,2.28,1.11,0.56,4.42,2.07,2.02,,,,1.33,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,0.85,5.14,2.76,2.21,1.53,3.09,2.7,3.99,0.99,2.42,1.42,2.62,1.68,2.16,2.66,4.26,1.33,0.79,2.32,3.09,0.3,,,4.13,3.11,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,0.7,1.49,2.3,1.6,2.09,0.77,3.88,2.02,1.47,1.31,2.68,3.81,0.06,2.91,1.97,3.51,3.2,3.81,2.63,5.23,0.76,,,3.54,2.04,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,4.99,2.88,2.21,2.48,2.18,1.05,0.49,2.25,1.92,5.28,2.68,3.2,1.54,1.92,0.89,2.78,3.27,2.77,1.16,2.56,1.74,,,2.16,0.11,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.93,1.92,1.54,2.93,4.42,1.94,3.09,3.42,1.75,3.56,3.32,3.22,0.56,3.28,4.12,1.19,0.81,2.93,2.74,2.45,3.25,,,2.18,2.12,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
