HARTEST-SHIMPLING-HALL,,,,,,,,,,,
Grid ref,TL857512,Long,0.71446827,Lat,52.128734,Elevation,200,ft,,,
Station no,RR8104,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,1.76,1.13,3.07,,
February,,,,,,,2.06,2.53,0.87,,
March,,,,,,,0.16,1.68,1.73,,
April,,,,,,2.11,3.06,2.16,1.07,,
May,,,,,,2.23,1.38,0.83,1.12,,
June,,,,,,0.41,2.1,3.3,2.09,,
July,,,,,,1.05,2.44,2.94,2.2,,
August,,,,,,3.74,1.57,2.45,2.1,,
September,,,,,,2.83,1.26,4.05,0.5,,
October,,,,,,2.2,2.58,2.33,1.8,,
November,,,,,,1.93,3.15,2.27,1.6,,
December,,,,,,1.44,0.6,2.41,2.63,,
Total,,,,,,,22.12,28.08,20.78,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,
