EDGEWORTHSTOWN CURRYGRANE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IN2276778618,Long,-7.6555307,Lat,53.756868,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,2.62,0.77,0.48,2.1,5.29,4.44,2.22,3.02,2.79,2.41,3.06,4.52,1.52,1.21,2.07,4.03,2.07,2.04,1.85,2.13,3.29,,,3.02,5.58,4.26,2.08,4.9,1.87,3.04,2.98,4.36,3.11,,,,,,,,
February,,,,,,,,,,2.92,3.28,3.12,2.41,3.55,4.01,3.06,2.97,2.43,0.8,1.89,1.05,0.22,1.74,3.27,3.88,0.36,1.93,2.54,2.93,,,,2.83,4.32,4.75,2.11,3.28,2.71,2.08,2.48,4.92,3.6,,,,,,,,
March,,,,,,,,,,2.74,2.98,2.22,5.03,1.38,3.65,2.13,3.35,1.16,3.8,1.66,3.14,1.11,0.96,1.01,2.41,3.67,4.3,3.76,0.45,,,,1.24,6.21,2.95,4.66,2.76,3.14,4.07,6.61,1.17,3.48,,,,,,,,
April,,,,,,,,,,1.47,4.72,0.92,3.54,1.22,1.1,2.91,2.05,1.55,2.46,2.72,1.34,3.64,1.08,1,4.15,1.69,1.41,4.26,4.24,,,,0.36,0.59,2.59,1.86,2.01,2.46,2.97,4.27,2.03,3.4,,,,,,,,
May,,,,,,,,,,2.89,1.4,2.43,2.53,1.07,2.99,1.77,3.28,1.58,2.72,3.84,2.06,2.71,4.41,2.47,2.78,0.51,0.36,1.89,4,,,,3.08,1.89,2.06,1.92,3.84,3.91,5.78,2.1,4.03,4.1,,,,,,,,
June,,,,,,,,,,5.29,5.31,4.36,3.26,2.12,1.14,0.61,2.45,0.17,5.01,0.98,3.24,2.1,2.85,2.68,1.84,1.18,2.99,4.68,3.8,2.98,,,2.1,1.17,2.15,2.06,1.59,5.68,2.87,1.64,4.16,1.19,,,,,,,,
July,,,,,,,,,,5.65,7.46,1.97,4.36,3.67,4.58,2.45,5.39,3.06,4.99,2.4,2.95,1.96,3.11,3.71,4.48,4.4,7.41,2.85,0.8,,,,2.33,4.76,3.87,1.83,3.76,3.15,1.18,3.62,3.71,0.91,,,,,,,,
August,,,,,,,,,,2.94,1.84,5.09,3.35,3.34,1.43,2.15,2.68,2.48,3.89,5.11,3.04,7.43,7.61,4.37,3.96,6.48,2.88,5.72,4.52,,,,2.15,6.89,5.2,6.89,3.54,4.49,1.92,1.46,1.83,0,,,,,,,,
September,,,,,,,,,,3.6,2.71,1.94,2.38,4.63,2.67,5.23,3.61,3.09,1.39,2.39,3.34,2.7,4.56,1.67,0.1,0.38,5.25,1.87,3.83,,,,1.25,3.58,3.22,1.93,1.4,2.26,7.3,2.58,2.42,1.19,,,,,,,,
October,,,,,,,,,,2.17,0.87,2.74,2.98,3.8,4.05,3.5,4.55,1.78,1.75,4.55,2.29,3.49,2.23,3.71,4.29,2.86,2.59,2.97,2.22,,,,2.33,5.34,2.52,1.58,5.49,4.29,1.98,6.13,2.14,1.83,,,,,,,,
November,,,,,,,,,3.03,1.11,4.23,4.73,5.72,4.24,3.66,2.08,3.38,3.3,3.47,2.05,6.54,2.27,3.47,1.41,3.65,3.95,1.2,4.14,3.48,,,,4.09,2.48,2.47,2.5,0.94,3.49,3.56,1.42,3.28,6.29,,,,,,,,
December,,,,,,,,,6.05,2.51,2.9,2.88,3.5,2.12,4.2,1.18,4.52,2.61,4.27,3.29,1.82,5.32,2.24,3.74,3.09,4.11,4.84,5.37,2.01,,,,3.19,2.81,3,2.27,2.37,4.4,4.66,3.2,2.48,10.37,,,,,,,,
Total,,,,,,,,,,35.91,38.47,32.88,41.16,36.43,37.92,29.29,41.25,26,36.96,33.94,35.33,34.47,35.47,31.11,38.66,31.66,37.2,41.9,34.41,,,,27.97,45.62,39.04,31.69,35.88,41.85,41.41,38.49,36.53,39.47,,,,,,,,
