EDGEWORTHSTOWN - observer H Edgeworth,,,,,,,,,,,,,,,,,,,,
Grid ref,IN2605271638,Long,-7.6063129,Lat,53.693994,Elevation,325,ft,,,,,,,,,,,,
Station no,RR1859,,,,,,,,,,RR1859,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809
January,,,,,,,,,5.8,,,,,,,,,1.73,0.81,
February,,,,,,,,,1.91,,,,,,,,,1.38,1.41,
March,,,,,,,,,1.27,,,,,,,,,0.32,0.83,
April,,,,,,,,,2.8,,,,,,,,,0.47,1.49,
May,,,,,,,,,0.99,,,,,,,,,3,1.73,
June,,,,,,,,,2.4,,,,,,,,,1.34,1.54,
July,,,,,,,,,6.37,,,,,,,,,1.89,3.98,
August,,,,,,,,,2.27,,,,,,,,,4.1,1.5,
September,,,,,,,,,2.67,,,,,,,,,5.04,2.64,
October,,,,,,,,,3.63,,,,,,,,,3.47,2.53,
November,,,,,,,,,3.62,,,,,,,,,1.73,2.21,
December,,,,,,,,,1.83,,,,,,,,,2.01,2.05,
Total,,,,,,,,,35.56,,,,,,,,,26.48,22.72,
Calc annual,0,0,0,0,0,0,0,0,35.56,0,0,0,0,0,0,0,0,26.48,22.72,0
Difference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
Observer H Edgeworth so it is likely that he was one of the Edgeworth family at their home Edgeworthstown House - used for NGR,,,,,,,,,,,,,,,,,,,,
Henry Edgeworth is a likely contender - 1782-1813,,,,,,,,,,,,,,,,,,,,
House is now a Nursing Home,,,,,,,,,,,,,,,,,,,,
