SHEPPEY-GREENBOROUGH,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ868703,Long,0.68408224,Lat,51.400968,Elevation,4,ft,,,,,,,,,,,,
Station no,RR8347,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,3.18,2.44,2.99,0.79,0.71,0.69,1.75,,,,,,,,,
February,,,,,1.96,1.69,0.52,0.5,2.03,1.34,1.18,,,,,,,,,
March,,,,,1.53,1.46,0.76,1.99,1.98,1.78,1.91,,,,,,,,,
April,,,,,1.23,0.97,1.53,1.81,1.93,2.4,2.77,,,,,,,,,
May,,,,,0.33,1.93,3.07,1.74,0.61,1.76,2.09,,,,,,,,,
June,,,,,2.1,0.84,0.1,0.99,4.73,1.14,2.45,,,,,,,,,
July,,,,,1.75,0.17,1.67,1.53,3.95,1.85,3.77,,,,,,,,,
August,,,,,1.76,1.12,3.01,2.25,5.97,1.45,2.63,,,,,,,,,
September,,,,,5.9,7.08,0.26,2.76,2.05,1.39,1.07,,,,,,,,,
October,,,,,1.69,3.66,2.94,2.24,2.28,4.91,0.82,,,,,,,,,
November,,,,3.7,0.85,2.38,2.92,5.71,6.62,0.91,1.73,,,,,,,,,
December,,,,1.24,2.6,1.17,5.17,1.63,1.57,1.27,0.82,,,,,,,,,
Total,,,,,24.88,24.91,24.94,23.94,34.43,20.89,22.99,,,,,,,,,
