HASLINGDEN (MITCHELLS RESERVOIR) NO 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD790274,Long,-2.319877,Lat,53.742552,Elevation,984,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2948/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5,6.11,3.81,3.97,2.62,5.04,4.45,5.34,4.91,3.19,1.35,5.23,7.01,6.33,3.71,5.92,4.03,9.74,2.98,2.85,,,1.81,4.41,2.47,4.07,3.86,4.65,,
February,4.36,0.29,3.28,0.43,6.6,2.55,6.63,1.8,4.98,2.19,5.3,1.51,2.9,2.26,6.06,7.05,0.49,3.26,3.4,5.17,,,1.51,3.19,2.72,1.2,3.86,6.85,,
March,0.56,3.4,2.54,2.44,1.42,2.58,2.07,2.11,2.8,3.24,4.03,3.25,1.25,0.76,1.79,1.11,6.47,2.73,1.66,3.14,,,1.98,3,2.31,1.26,3.52,1.87,,
April,3.53,4.07,1.98,2.58,3.49,1.03,4.5,0.94,2.55,4.12,2.06,2.8,2.65,2.82,2.78,1.58,4.83,2.3,5.02,3.28,,,3.76,0.81,2.86,2.86,0.43,1.1,,
May,2.89,4.55,2.86,3.75,1.08,1.2,2.77,4.14,1.67,1.15,3.18,4.04,3.76,3.29,4.17,1.88,2.75,2.34,3.28,2.39,,,2.29,3.26,3.91,1.78,1.72,4.28,,
June,5.75,1.28,1.81,2.47,4.66,4.11,4.64,4.56,4.06,1.15,0.44,1.8,4.27,3.21,6.65,3.73,3.16,6.87,1.17,2.59,,,2.52,3.22,2.94,3.16,1.82,,,
July,4.32,4.41,3.98,2.52,1.84,4.32,2.19,4.55,7.27,5.32,2.64,5.56,3.5,3.59,3.72,4.36,4.16,2.62,2.45,4.74,,,4.78,6.26,1.01,5.77,4.93,,,
August,5.76,1.28,2.57,4.61,1.5,3.14,2.8,3.41,3.19,3.07,6.62,5.22,7.12,4.14,2.97,8.38,0.28,4.59,2.66,8.39,,,5.01,7.69,1.11,11.3,5.48,,,
September,4.07,6.32,1.48,3.86,7.88,5.39,1.89,2.32,1.35,4.61,1.72,3.53,4.48,6.21,3.43,8.27,4.31,3.99,1.72,8.51,,,5.15,5.22,3.23,3.95,6.75,,,
October,2.71,8.05,4.79,6.04,9.48,5.03,2.28,10.15,2.22,4.72,5.29,7.41,3.75,6.66,7.98,1.42,1.24,3.24,5.8,3.67,,,2.32,8.6,2.72,2.79,5.49,,,
November,7.96,3.06,2.34,2.08,5.39,6.02,1.85,7.88,7.78,8.96,3.95,1.31,3.73,7.72,0.55,8.88,6.58,2.87,6.39,6.88,,,5.61,8.04,2.77,2.07,1.91,,,
December,1.92,2.42,0.65,6.58,3.69,6.95,2.34,5.35,3.36,5.84,3.6,5.44,2.85,5.14,3.66,6.13,3.94,5.37,6.13,3.26,,,2.33,6.71,5.78,5.74,4.38,,,
Total,48.83,45.24,32.09,41.33,49.65,47.36,38.41,52.55,46.14,47.56,40.18,47.1,47.27,52.13,47.47,58.71,42.24,49.92,42.66,54.87,,,39.07,60.41,33.83,45.95,44.15,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1931-1940_17_pt1-page-196.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_20_pt1-page-014.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_18_pt1-page-013.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
