"STOW BURNHOUSE",,,,,,,,,,,,
Grid ref,NT438492,Long,-2.896497,Lat,55.732923,,,,,,,
Station no,RR4537,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.72,2.00,1.40,4.39,3.21,0.82,,,,,,
February,2.80,1.26,1.14,2.25,3.34,1.75,,,,,,
March,1.35,1.74,1.81,4.05,1.70,3.88,,,,,,
April,1.80,2.25,1.68,1.56,3.00,2.05,,,,,,
May,1.84,1.70,4.40,1.43,2.80,1.40,,,,,,
June,3.44,1.85,1.90,1.23,2.15,2.10,,,,,,
July,3.49,1.00,2.02,4.62,2.65,1.40,,,,,,
August,4.04,5.52,1.05,3.76,4.60,3.03,,,,,,
September,2.68,1.58,1.37,2.69,1.70,2.43,,,,,,
October,4.78,2.60,2.00,8.05,0.90,2.80,,,,,,
November,4.30,3.50,2.56,2.06,1.57,,,,,,,
December,5.63,2.00,5.19,2.50,2.73,,,,,,,
Total,40.87,27.00,26.52,38.59,30.35,,,,,,,
Calc annual,40.87,27.00,26.52,38.59,30.35,21.66,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
