"GIRVAN, SUNNYSIDE, GOLF COURSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX 18494 98659,Long,-4.856983,Lat,55.248614,Elevation,27,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5265/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,4.45,3.03,4.78,3.72,2.36,3.03,2.52,5.67,6.53,5.6,3.7,4.58,3.17,5.21,5.33,1.8,2.13,5.35,5.2,,,,,,,,,
February,,,2.86,1.73,5.01,7.09,3.62,1.39,5.55,1.36,4.19,0.6,3.68,6.27,0.92,5.27,3.15,1.65,4.9,1.8,0.29,4.14,,,,,,,,,
March,,,3.74,4.05,4.48,1.64,0.95,1.61,1.8,3.6,4.21,6.48,1.4,1.78,0.91,1.42,1.96,3.29,3.59,1.13,2.39,0.87,,,,,,,,,
April,,,1.14,3.26,3.07,2.55,2.99,1.89,0.84,1.38,1.5,1.44,2.33,2.36,2.37,3.56,2,2.6,1.23,1.34,1.77,1.42,,,,,,,,,
May,,,1.38,3.09,2,1.12,3.35,3.44,2.82,0.55,3.35,2.33,2.61,2.21,3.01,6.1,2.63,2.53,1,2.84,1.13,1.87,,,,,,,,,
June,,,4.13,2.76,0.62,1.17,2.59,2.46,1.45,4.14,1.81,0.94,3.87,1.41,2.12,0.46,1.76,3.16,2.82,2.7,2.8,5.31,,,,,,,,,
July,,,1.32,0.66,2.17,3.65,3.41,2.12,2.39,0.75,2.67,4.18,2.1,3.55,2.89,2.12,3.39,2.98,2.48,2.64,2.32,2.47,,,,,,,,,
August,,,3.04,1.4,4.15,1.93,2.47,3.54,4.46,2.86,4.69,3.84,2.79,5.45,3.55,1.78,2.8,3.63,3.59,5,5.04,2.13,,,,,,,,,
September,,,1.7,3.1,1.59,1.23,1.6,2.09,5.58,4.6,2.48,1.75,1.9,-999,5.65,3.17,3.52,4.82,2.86,1.1,4.28,1.21,,,,,,,,,
October,,,3.39,2.13,1.79,2.42,5.18,9.01,6,1.27,4.38,4.62,1.86,-999,2.06,3.91,5.02,4.42,5.99,5.83,4.38,3.32,,,,,,,,,
November,,,3.42,5.66,4.42,2.11,3.7,6.07,4.96,3.84,2.54,3.09,2.73,-999,3.53,1.89,4.5,3.41,6.14,6.08,5.86,8.92,,,,,,,,,
December,,,4.7,3.82,6.62,5.6,6.2,3.12,4.9,8.6,3.86,6.02,3.33,5.57,4.34,3.51,1.82,1.52,4.78,9.33,3.75,4.3,,,,,,,,,
Total,,,,36.11,38.95,35.29,39.78,39.1,43.78,35.47,41.35,41.82,34.2,46.82,35.93,36.36,37.76,39.34,41.18,41.92,39.36,41.16,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 SON Bracketed -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 NP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5265/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd  Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
