"PINWHERRY, DALJARROCK",,,,,,,,,,,,,,,,,,,,,
Grid ref,NX196881,Long,-4.8328642,Lat,55.154258,Elevation,198,ft,,,,,,,,,,,,,
Station no,5270,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,6.93,9.82,,,,,,,,,
February,,,,,,,,,,,0.44,5.25,,,,,,,,,
March,,,,,,,,,,,3.42,0.76,,,,,,,,,
April,,,,,,,,,,,1.96,2.91,,,,,,,,,
May,,,,,,,,,,,2.08,1.76,,,,,,,,,
June,,,,,,,,,,,0.89,5.38,,,,,,,,,
July,,,,,,,,,,,3.3,2.63,,,,,,,,,
August,,,,,,,,,,,6.54,2.33,,,,,,,,,
September,,,,,,,,,,,4.96,1.51,,,,,,,,,
October,,,,,,,,,,,9.59,4.02,,,,,,,,,
November,,,,,,,,,,,5.58,12.19,,2.98,,,,,,,
December,,,,,,,,,,,5.99,6.32,,2.21,,,,,,,
Total,,,,,,,,,,,51.68,54.88,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1930 Jan mistranscription,,,,,,,,,,,,,,,,,,,,,
