SEATON-JUNCTION,,,,,,,,,,,,,,,,,,,,
Grid ref,SY248966,Long,-3.06651,Lat,50.76418,Elevation,114,ft,,,,,,,,,,,,
Station no,1818/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.16,5.22,,,0.74,0.8,3.87,2.99,0.67,1.74,5,4.88,3.29,4.42,5.42,3.86
February,,,,,3.14,3.17,,,1.92,6.75,5.81,0.81,1.75,4.41,3.05,0.07,5.33,4.89,0.34,5.01
March,,,,,1.2,1.3,,,1.62,2.06,4.58,3.5,0.63,4.79,1.09,1.15,3.7,1.71,3.77,2.54
April,,,,,0.65,2.25,,,1.89,2.76,1.62,3.33,3.38,0.23,1.03,1.18,0.05,0.95,2.55,3.21
May,,,,,4.75,5.52,,,2.76,2.45,2.42,3.22,3.68,1.97,4.05,1,2,2.33,0.89,2.23
June,,,,,3.58,4.15,,,0.57,0.84,0.98,2.38,2.86,3.38,4.01,2.54,2.56,3.18,1.09,1.5
July,,,,2.95,2.48,1.47,,,1.65,5.41,2.48,2.06,3.53,2.68,2.67,1.99,3.27,2.75,1.9,3.97
August,,,,2.58,2.81,4.6,,,2.42,5.64,5.37,4.04,2.53,4.27,0.62,3.46,3.12,3.37,2.53,4.82
September,,,,1.87,2.83,6.81,,1.95,4.22,4.28,4.14,3.67,2.95,3.78,1.22,6.3,3.52,5.93,0.09,7.63
October,,,,5.55,5.37,3,,3,7,2.1,1.1,5.68,4.48,3.71,2.26,1.62,2.39,2.48,2.73,12.03
November,,,,6.75,2.37,7,,2.75,4.86,7.87,7.59,4.36,1.98,7.75,5.6,0.77,0.46,3.16,7.22,6.21
December,,,,3.39,6.58,5,,7.46,1.32,2.76,3.14,3.45,0.98,2.78,5.9,6.76,2.98,6.05,9.09,3.93
Total,,,,,38.92,49.49,,,30.97,43.72,43.1,39.49,29.42,41.49,36.5,31.72,32.67,41.22,37.62,56.94
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1956 Gauge over sheltered,,,,,,,,,,,,,,,,,,,,
Station still in use,,,,,,,,,,,,,,,,,,,,
