"SKICHEN MONOKIE, DUNDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 494 415,Long,-2.825015,Lat,56.562521,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866
January,,,,,,,,2.1,0.45,1.25,6.4,1.25,,,,2.46,,3,2.94,4.39,3,5.6,6.5,5.56,5.27,2.76,3.97,2.33,1.15,2,3.51,3.3,5.85,3.69,3.25,3.9,3.17
February,,,,,,,,3,0.45,1.6,5.2,,,,,3.7,,0.66,7.52,1.41,2.5,1.01,2.35,2.65,0.51,2.45,4.39,1.35,1.31,1.75,1.77,3.25,2.7,0.77,3.95,3.23,3
March,,,,,,,,1.25,0.35,4.35,2.4,,,,,1.96,4.97,0.96,3.8,1.41,0.02,6,1,2.15,1.45,4.05,0.18,5.19,1.5,2.22,2.65,3.4,3.8,1.4,3.76,1.3,3.62
April,,,,,,,,3.7,2,1.15,0.5,,,,,2.1,7.8,2.4,3.68,1.32,2.75,2.9,0.45,1.32,0.24,0.9,5,4.25,1.85,2.58,0.93,1,1.58,1.9,1.09,0.93,1.9
May,,,,,,,,1.05,3.3,0.95,0.5,,,,,2.15,,5.66,1.02,2.78,2.5,0.59,1.52,0.65,3.74,1.84,3.33,2.59,2.07,0.11,1.61,1.07,3.28,1.9,1.8,2.51,1.54
June,,,,,,,,3.2,5.1,4.25,3.75,,,,,1.59,,3,6.48,1.84,0.82,1.76,5,2.4,3.78,1.65,2.95,2.65,1.44,2.73,6,2.33,4.62,3.6,1.9,0.5,1.3
July,,,,,,,,5,2,4.6,3.95,,,,3.38,4.5,,2.6,3.48,4,1.77,3,1.48,3.61,2.4,2.8,2.07,1.82,3.63,2.62,3,2.85,3.84,0.8,2.71,3,3.76
August,,,,,,,,3.3,3.55,3.3,4.9,,,,3.17,2.83,3.35,1.23,2.7,2.74,3.48,2.65,3.23,4.1,1.5,3.13,4.03,1.62,2.45,1.4,3.15,4.7,3,4.7,0.67,3.99,3.25
September,,,,,,,,1.3,2.35,5.15,2.9,,,,2.32,3.44,3.48,0.82,1.48,1.58,2,0.78,1.48,1.55,1.19,0.45,8.61,4.25,2.8,2.25,0.91,5.33,2.38,4.25,4.75,0.41,4.2
October,,,,,,,0.75,1.85,2.85,4.35,1.95,,,,4.1,2.36,8.42,4.74,4.48,1.68,1.42,2,5.43,6.7,2.46,3,1.49,2.21,3.23,4.4,2.8,3.05,3.18,2.67,10.7,8,2.67
November,,,,,,,5.7,1.35,3.95,5.7,4.3,,,,1.26,6.15,3.5,4.63,3.63,3.02,3.62,1.2,6,3.23,5.65,1.4,2.24,3.6,3.4,3.3,6.7,4.5,0.93,2.48,4.5,3.6,2.15
December,,,,,,,2.5,3.25,2.2,6.4,3.1,,,,7.52,4,0.55,7.03,2.17,3.69,1.6,0.7,7.22,2.54,2,3,3.23,1.45,4.17,2.17,5.77,2.1,3.3,2.05,4,2.45,3.64
Total,,,,,,,,30.35,28.55,43.05,39.85,,,,,37.24,,36.73,43.38,29.86,25.48,28.19,41.66,36.46,30.19,27.43,41.49,33.31,29,27.53,38.8,36.88,38.46,30.21,43.08,33.82,34.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This station terminates when CROMBIE-RES begins. Distance of approx 2 mile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The  Longitude provided on sheet TYRain_1850-1859_H_pt1-page-225.jpg of 56?33'45.0""N  2?49'30.0""W appears to be 1 mile West but",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
