"CHRISTOW (SMITHACOTT)",,,,,,,,,,,,
Grid ref,SX798848,Long,-3.701610,Lat,50.650445,,,,,,,
Station no,1749,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.50,4.02,0.68,1.62,6.93,3.76,5.06,5.68,7.54,5.65,,
February,7.22,0.53,1.46,3.60,3.72,0.31,8.03,6.15,0.40,8.12,,
March,4.75,3.45,0.90,3.80,2.28,1.98,4.83,3.21,6.24,4.74,,
April,1.90,3.06,3.06,0.17,1.17,0.98,0.37,0.78,4.68,4.56,,
May,3.04,2.60,3.48,2.28,3.85,0.90,2.70,4.15,1.68,2.74,,
June,1.02,0.65,2.45,4.28,3.46,1.82,2.21,4.70,1.26,1.62,,
July,2.08,1.23,2.80,2.84,2.45,4.83,4.25,4.20,2.25,4.69,,
August,4.75,6.04,2.12,3.38,0.54,3.52,3.38,4.96,3.46,4.07,,
September,4.80,3.70,5.15,3.16,1.42,8.55,3.54,5.39,0.28,8.32,,
October,1.43,7.08,4.65,3.34,2.36,2.57,2.42,3.80,4.90,13.95,,
November,8.05,4.15,2.82,9.64,6.14,2.40,3.43,2.51,11.06,7.34,,
December,4.25,3.25,1.18,3.82,6.20,7.96,4.25,5.74,10.34,5.68,,
Total,48.79,39.76,30.75,41.93,40.52,39.58,44.47,52.27,54.09,71.48,,
Calc annual,48.79,39.76,30.75,41.93,40.52,39.58,44.47,51.27,54.09,71.48,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,1.00,0.00,0.00,,
