KENDAL BIRCHFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD524928,Long,-2.733432,Lat,54.328537,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,
January,,,,,,,,,7.58,4.45,7.75,2.88,3.96,4.88,5.32,6.04,7.92,2.59,7.47,,,,,,,,,,,,
February,,,,,,,,,3.14,2.35,8.23,8.69,3.6,3.14,6.62,8.65,6.16,1.67,6.12,,,,,,,,,,,,
March,,,,,,,,,4.23,4.1,2.54,1.69,8,5.96,6.04,2.16,2.27,2.15,2.38,,,,,,,,,,,,
April,,,,,,,,,3.39,4.97,3.36,4.45,1.21,6.06,1.62,3.14,3.33,2.2,1.48,,,,,,,,,,,,
May,,,,,,,,,4.69,2.36,3.17,2.55,2.26,2.53,2.69,1.13,4.55,2.85,2.2,,,,,,,,,,,,
June,,,,,,,,,3.17,3.01,1.79,3.28,6.42,3.91,1.99,1.03,2.97,3.14,2.88,,,,,,,,,,,,
July,,,,,,,,,5.96,6.62,4.6,0.92,5.38,0.67,4.12,5.98,4.13,2.49,6.61,,,,,,,,,,,,
August,,,,,,,,,6,3.88,8.23,4.03,6.23,2.63,5.26,3.93,3.7,11.71,4.21,,,,,,,,,,,,
September,,,,,,,,,7.53,3.47,0.59,6.05,1.74,2.92,4.24,2.06,2.43,4.37,12.35,,,,,,,,,,,,
October,,,,,,,,,2.95,8.02,2.38,5.96,6.77,4.29,1.99,1.11,10.07,8.36,7.27,,,,,,,,,,,,
November,,,,,,,,,4.62,3.03,6.46,9.46,6.48,6.72,8.17,3.35,5.6,4.8,2.81,,,,,,,,,,,,
December,,,,,,,,,4.3,9.24,5.39,8.6,7.87,4.02,9.1,8.44,4.78,3.11,10.56,,,,,,,,,,,,
Total,,,,,,,,,57.56,55.5,54.49,58.56,59.92,47.73,57.16,47.02,57.91,49.44,66.34,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1919 Gauge moved to Hylands, Kendal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birchfield was No 7 Castle Park Terrace where the observer lived in 1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
