PATRINGTON RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TA315226,Long,-0.010,Lat,53.683,Elevation,50,ft,,,,,,,,,,,,
Station no,3392,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948
January,1.82,2.07,2.22,0.75,1.15,1.08,1.65,2.80,,1.59,3.52,,2.83,3.30,3.83,2.51,3.40,1.99,1.80,4.82
February,0.39,0.71,1.87,0.55,2.33,1.04,2.59,2.43,,0.95,0.64,,2.03,0.77,0.38,2.33,1.54,2.13,2.31,1.25
March,0.05,1.42,0.48,1.52,1.99,2.09,0.63,0.62,,0.19,1.88,,3.09,0.73,0.31,0.50,0.77,0.91,4.61,0.51
April,0.97,1.86,2.55,2.22,1.01,1.61,1.97,1.61,,0.40,2.23,,0.90,1.13,0.92,2.26,2.11,0.90,1.29,1.64
May,0.92,1.35,2.77,3.01,1.52,0.49,0.33,1.75,,2.13,1.10,,2.05,2.63,2.35,2.17,1.59,1.37,0.45,1.64
June,0.79,1.41,2.46,0.29,0.89,0.84,2.20,3.49,,1.85,3.62,,0.38,1.62,1.66,2.76,1.59,1.80,2.21,3.47
July,1.77,3.50,4.51,3.22,1.19,1.15,0.17,4.38,,2.15,3.42,,3.33,1.71,0.82,1.97,0.92,2.61,0.66,1.33
August,2.34,1.89,4.32,2.16,0.26,2.08,0.79,1.84,,3.30,3.59,,2.44,1.29,2.28,2.68,4.50,2.70,0.18,
September,1.02,2.72,2.52,1.58,1.98,1.56,4.60,1.75,,2.24,1.19,,0.82,1.82,3.44,5.25,0.86,3.73,0.68,
October,2.33,1.53,1.41,2.70,3.83,1.23,2.76,1.56,,2.56,5.30,,3.15,1.94,1.06,2.95,1.72,2.31,0.92,
November,3.70,2.26,1.74,1.32,2.52,2.01,3.31,2.34,,1.86,3.85,,2.55,2.13,2.55,4.03,1.10,4.30,1.36,
December,3.71,1.45,0.96,0.88,0.53,3.37,2.01,1.36,,4.15,2.66,,0.43,2.14,0.94,1.61,1.73,2.53,2.09,
Total,19.81,22.17,27.81,20.20,19.20,18.55,23.01,25.93,,23.37,33.00,,24.00,21.21,20.54,31.02,21.83,27.28,18.56,
,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/112,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/236,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/105,,,,,,,,,,,,,,,,,,,,
