BRIGG - SUGAR FACTORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE987061,Long,-0.512,Lat,53.542,Elevation,134,ft,,,,,,,,,,,,,
Station no,2571/9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.63,2.92,2.39,3.53,2.44,2.34,2.13,2.23,4.61,0.97,1.08,2.00,1.68,0.85,1.21,1.34,4.38,1.30,1.80,1.88,3.95
February,1.83,2.40,1.00,0.68,2.07,1.70,2.79,2.13,1.29,0.38,3.58,2.66,0.74,1.46,1.62,2.00,1.46,1.77,3.11,0.21,2.13
March,1.69,2.80,1.18,0.26,0.32,0.55,1.25,4.25,0.67,1.00,1.02,2.70,2.47,0.65,1.41,2.32,1.16,1.52,1.67,1.25,0.80
April,2.44,0.57,0.92,0.76,2.25,1.36,0.98,1.52,1.35,2.08,3.02,0.79,0.85,1.91,0.39,1.04,1.51,0.29,0.64,1.64,1.10
May,1.27,1.30,2.99,2.67,1.84,1.45,0.89,0.97,2.06,1.19,2.08,3.24,1.38,2.32,2.84,3.45,0.53,1.33,2.05,0.31,0.78
June,0.71,0.43,1.10,1.83,1.73,2.15,2.00,2.29,3.90,0.60,1.86,0.59,2.80,1.89,1.73,4.77,2.89,1.76,4.35,0.77,0.60
July,5.52,3.78,1.69,1.00,1.57,1.78,3.58,1.33,1.01,3.16,3.45,1.09,1.00,3.20,2.54,0.64,5.24,3.34,3.99,1.48,4.45
August,0.98,2.64,2.33,1.81,3.39,2.10,4.42,0.33,2.49,1.77,2.99,4.61,1.29,2.44,4.64,0.60,4.18,3.54,2.99,0.43,2.40
September,0.94,0.69,1.83,2.76,4.38,0.88,3.07,0.69,1.98,0.87,3.00,1.06,2.29,1.67,2.13,0.94,1.54,4.14,1.65,0.02,1.86
October,3.74,2.67,1.27,1.28,2.39,2.47,1.24,0.52,1.19,2.03,0.93,1.11,2.15,2.18,3.43,1.18,1.36,1.23,1.80,1.41,4.25
November,4.99,2.30,1.25,1.06,4.05,0.55,5.17,1.39,0.91,3.45,4.47,3.87,2.48,1.36,4.23,1.00,0.88,2.06,0.76,1.97,2.87
December,2.03,0.26,1.86,0.82,1.62,1.31,2.57,1.92,2.86,2.17,1.79,1.53,1.68,1.03,2.61,2.16,1.43,1.98,2.68,2.65,2.96
Total,27.77,22.76,19.81,18.46,28.05,18.64,30.09,19.57,24.32,19.67,29.27,25.25,20.81,20.96,28.78,21.44,26.56,24.26,27.49,14.02,28.15
,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/166,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/251,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/255,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
# The gauge moved to this site in 1940 from an earlier site that uses the station number assigned to nearby Scawby Hall (2571/8).,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1989 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,
