"BRIGG (SUGAR FACTORY)",,,,,,,,,,,,
Grid ref,SE987061,Long,-0.512026,Lat,53.542277,,,,,,,
Station no,2571/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.00,1.68,0.85,1.21,1.34,4.38,1.30,1.80,1.88,3.95,,
February,2.66,0.74,1.46,1.62,2.00,1.46,1.77,3.11,0.21,2.13,,
March,2.70,2.47,0.65,1.41,2.32,1.16,1.52,1.67,1.25,0.80,,
April,0.79,0.85,1.91,0.39,1.04,1.51,0.29,0.64,1.64,1.10,,
May,3.24,1.38,2.32,2.84,3.45,0.53,1.33,2.05,0.31,0.78,,
June,0.59,2.80,1.89,1.73,4.77,2.89,1.76,4.35,0.77,0.60,,
July,1.09,1.00,3.20,2.54,0.64,5.24,3.34,3.99,1.48,4.45,,
August,4.61,1.29,2.44,4.64,0.60,4.18,3.54,2.99,0.43,2.40,,
September,1.06,2.29,1.67,2.13,0.94,1.54,4.14,1.65,0.02,1.86,,
October,1.11,2.15,2.18,3.43,1.18,1.36,1.23,1.80,1.41,4.25,,
November,3.87,2.48,1.36,4.23,1.00,0.88,2.06,0.76,1.97,2.87,,
December,1.53,1.68,1.03,2.61,2.16,1.43,1.98,2.68,2.65,2.96,,
Total,25.25,20.81,20.96,28.78,21.44,26.56,24.26,27.49,14.02,28.15,,
Calc annual,25.25,20.81,20.96,28.78,21.44,26.56,24.26,27.49,14.02,28.15,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
