TOFT-MONKS-SCHOOL,,,,,,,,,,
Grid ref,TM433961,Long,1.583861,Lat,52.508455,Elevation,60,ft,,
Station no,RR8026,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,0.95,3.11,2.01,3.29,1.58,1.86,,
February,,,1.84,0.78,1.63,2.74,3.91,1.02,,
March,,,2.28,2.22,3.33,1.61,2.54,2.69,,
April,,,0.38,2.09,0.8,0.86,1.96,2.35,,
May,,,0.62,1.35,1.51,1.97,1.72,0.34,,
June,,,2.37,0.84,1.64,1.84,3.35,2.62,,
July,,,2.64,2.86,3.02,5.93,0.93,3.38,,
August,,,7.26,1.27,0.48,2.39,3.11,4.15,,
September,,,2.45,1.29,1.13,1.98,1.62,1.87,,
October,,,1.5,3.82,2.33,2.4,3.03,3.49,,
November,,,2.96,2.25,3.35,3.02,2.78,1.93,,
December,,,2.34,0.82,5.67,3.91,3.4,1.39,,
Total,,,27.59,22.7,26.9,31.94,29.93,27.09,,
