AISLABY - PARK HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ861087,Long,-0.673,Lat,54.466,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954
January,,2.90,0.61,2.32,0.89,1.44,1.09,3.27,2.07,3.01,4.18,1.69,3.77,1.03,3.53,1.68,3.16,3.43,3.43,3.00,2.27,2.21,1.41,2.98,2.02,3.89,2.17,4.55,3.63,2.11,2.63,1.77,2.68,5.28,5.16,2.82,4.22,1.44,3.67,4.61,3.63,0.99,5.36,1.33,2.26,6.25,0.66,0.98,1.65,2.69,1.16,2.05
February,,4.14,1.50,2.72,1.33,2.34,1.29,3.07,1.11,1.56,0.90,2.42,4.06,2.90,0.73,1.29,1.47,1.01,0.24,1.84,4.42,1.32,3.63,1.99,1.37,1.52,1.14,1.60,2.34,0.81,4.40,2.02,3.23,2.81,3.71,1.21,1.70,2.01,7.92,2.39,0.80,2.71,1.37,1.07,5.76,1.10,0.73,3.00,3.06,0.91,2.77,1.95
March,,2.41,1.82,1.91,0.93,3.46,5.66,0.72,1.77,2.88,2.72,2.34,1.67,3.51,2.22,1.42,5.20,3.26,0.84,2.66,1.26,0.96,2.12,0.70,1.96,2.78,0.18,2.91,0.98,2.36,1.71,2.78,0.76,0.78,5.48,0.19,2.33,1.56,2.69,0.97,0.58,0.59,0.37,1.31,5.39,1.51,1.19,1.10,4.05,1.21,0.29,2.11
April,,1.10,2.67,0.97,2.20,2.76,2.69,2.36,0.64,0.30,3.60,0.82,1.30,1.59,2.95,1.61,1.80,3.75,1.22,1.56,1.45,1.71,2.40,1.32,1.97,1.62,1.09,3.01,3.45,1.88,0.76,2.13,2.30,1.06,2.97,0.25,2.24,1.55,1.60,1.32,0.69,1.56,1.98,2.52,3.25,0.90,1.86,1.96,1.95,0.97,2.38,0.21
May,,2.65,1.25,4.02,4.17,2.12,1.74,3.15,1.42,3.30,2.69,1.19,1.83,2.95,1.46,2.14,0.89,1.18,1.95,1.62,3.55,4.71,1.65,1.28,0.89,1.43,1.46,1.59,1.87,8.91,2.54,1.08,1.40,2.62,4.04,3.17,2.21,0.45,2.06,2.13,2.70,1.31,2.94,1.80,1.69,1.40,1.28,2.10,6.11,1.65,1.65,2.19
June,,1.22,1.58,0.83,2.16,1.10,3.45,2.11,5.82,5.85,1.79,2.32,0.30,2.02,2.18,0.84,1.43,0.66,0.44,2.29,0.99,1.90,0.70,3.69,2.63,4.53,1.84,1.47,4.98,0.95,2.31,1.68,2.83,3.37,1.13,2.10,3.81,0.92,0.89,2.29,1.34,2.85,2.10,1.98,2.30,7.38,0.51,1.56,1.42,1.57,3.39,2.06
July,3.60,1.85,0.88,3.09,1.41,2.02,3.42,2.74,1.61,5.44,1.28,5.82,6.22,1.41,1.63,2.41,3.15,6.13,1.71,4.62,3.08,4.19,3.15,3.41,2.56,0.66,3.12,9.63,3.05,3.63,1.96,3.18,0.18,2.90,1.95,3.00,2.45,5.33,2.44,3.26,1.70,2.70,1.76,4.07,1.55,1.16,2.03,2.91,1.78,2.84,1.97,1.60
August,1.61,2.94,2.55,2.71,2.36,2.82,6.07,3.37,3.84,3.85,1.17,0.81,2.66,3.10,8.03,2.55,2.71,2.45,5.04,3.87,4.50,2.10,4.18,4.25,5.25,4.03,2.71,3.27,2.18,2.05,0.45,2.88,1.61,1.79,1.69,2.44,3.92,1.72,2.71,1.72,2.96,4.08,5.20,3.82,0.14,3.50,1.79,4.58,6.90,1.54,2.50,8.03
September,3.16,1.26,2.51,0.73,0.57,2.31,2.26,1.33,2.78,2.52,1.68,1.40,2.28,1.35,0.89,4.51,1.20,1.39,0.82,3.44,2.11,2.94,2.77,1.86,5.16,0.93,0.37,5.49,5.15,2.29,2.01,1.08,5.25,2.64,2.11,1.87,1.91,1.71,0.76,2.56,4.09,5.42,1.79,3.68,2.05,1.23,0.72,2.44,1.00,5.92,1.36,1.48
October,6.95,0.53,4.87,4.66,6.25,1.36,2.60,3.17,2.08,2.91,4.95,2.27,1.66,3.29,3.02,2.30,5.51,2.48,1.94,1.73,2.18,3.81,2.35,3.47,2.11,4.01,2.62,2.19,2.00,4.05,5.30,1.98,3.65,1.82,3.58,3.40,5.53,3.82,3.95,1.66,1.26,3.46,2.12,1.06,0.79,1.33,2.66,0.98,1.67,3.05,2.19,4.43
