"WALTON ON THE HILL LIVERPOOL - 5"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ350950,Long,-2.9801602,Lat,53.447737,Elevation,119,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.6,4.44,2.65,2.09,3.88,0.89,5.16,3.08,1.66,0.65,0.79,2.51,3.77,3.59,1.66,3.39,2.32,1.44,0.76,3.31,1.11,2.9,,,,,,,
February,,2.34,2.61,0.58,1.3,1.11,3.03,3.23,1.62,2.84,1.34,4.11,1.75,1.82,2.71,2.96,1.12,0.72,0.64,2.03,0.58,0.09,1.52,,,,,,,
March,,1.03,3.05,3.23,1.66,0.71,2.18,2.57,1.49,1.2,2.27,3.03,2.34,1.09,2.65,2.13,2.25,1.42,2.39,1.95,2.11,1.12,1.21,,,,,,,
April,,2.43,2.81,0.52,1.09,0.61,2.79,1.91,1.31,3.03,1.27,1.86,3.56,1.18,1.16,1.61,1.67,0.89,1.18,2.86,1.12,2.12,,,,,,,,
May,,1.52,1.55,1.41,1.91,2.21,0.56,2.58,3.39,2.18,2.24,3.09,1.26,0.69,1.27,1.57,4.53,2.09,0.92,2.56,1.33,2.32,,,,,,,,
June,,2.43,5.17,1.38,0.69,2.96,2.58,1.51,2.79,3.91,2.99,2.26,4.3,2.38,1.39,2.18,1.1,1.17,2.12,0.84,2.54,4.34,,,,,,,,
July,,4.51,6.25,3.56,4,4.33,2.45,5.16,1.05,3.46,4.94,3.33,4.8,3.85,4.3,1.99,4.42,0.99,5.09,2.93,2.62,3.43,,,,,,,,
August,,1.35,2.43,3.5,3.26,2.76,3.52,4.76,4.03,6.54,1.75,5.51,2.99,2.49,2.34,2.1,1.69,2,3.1,4.2,3.96,5.79,,,,,,,,
September,,4.14,7.16,3.17,2.42,5.05,4.07,2.92,4.02,3,3.01,2,2.78,5.39,2.62,4.64,3.67,3.82,0.94,2.28,1.69,3.6,,,,,,,,
October,,5.55,5.98,4.24,4.5,4.83,2.66,3.67,3.03,1.13,4.71,3.34,2.9,5.06,1.44,6.62,4.41,2.75,1.31,2.31,2.62,3.52,,,,,,,,
November,,2.03,2.88,2,4.36,3.12,4.46,5.53,2.06,1.12,3.88,2.85,4.6,3.11,1.3,3.43,3.04,1.67,4.57,2.29,5.91,3.48,,,,,,,,
December,,1.78,4.37,0.81,2.7,1.06,4.77,3.79,2.14,1.75,5.58,3.29,3.8,1.66,3.73,1.64,4.58,2.4,1.61,3.73,0.91,4.47,,,,,,,,
Total,,30.71,48.7,27.05,29.98,32.63,33.96,42.79,30.01,31.82,34.63,35.46,37.59,32.49,28.5,32.53,35.87,22.24,25.31,28.74,28.7,35.39,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer WH Anderson (father then son) lived on Breeze Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
