"LIVERPOOL WALTON ON THE HILL 8"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ350950,Long,-2.9801602,Lat,53.447737,Elevation,119,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,5.17,3.15,1.68,0.65,0.79,2.52,3.75,3.63,1.66,3.49,2.39,,,3.43,,,,,,,,,
February,,,,,,,,3.28,1.62,2.87,1.34,4.21,1.76,1.79,2.72,2.99,1.11,0.72,,,0.58,,,,,,,,,
March,,,,,,,,2.58,1.54,1.19,2.23,3.15,2.34,1.07,2.67,2.15,2.36,1.44,,,2.11,,,,,,,,,
April,,,,,,,,1.92,1.28,3.04,1.28,1.86,3.64,1.17,1.12,1.61,1.67,0.89,,,1.12,,,,,,,,,
May,,,,,,,,2.6,3.39,2.19,2.25,3.1,1.25,0.69,1.29,1.56,4.56,2.14,,,1.34,,,,,,,,,
June,,,,,,,,1.52,2.77,3.89,2.99,2.24,4.29,2.39,1.43,2.19,1.1,1.19,,,2.56,,,,,,,,,
July,,,,,,,,5.14,1.06,3.45,4.99,3.34,4.8,3.85,4.26,1.99,4.46,1,,,2.67,,,,,,,,,
August,,,,,,,,4.77,3.99,6.57,1.77,5.52,2.97,2.5,2.35,2.07,1.68,2.03,,,4,,,,,,,,,
September,,,,,,,,2.96,4.03,2.96,2.99,1.99,2.78,5.41,2.63,4.69,3.65,3.87,,,1.7,,,,,,,,,
October,,,,,,,,3.68,3.07,1.11,4.8,3.5,2.9,5.06,1.42,6.66,4.41,2.78,,,2.66,,,,,,,,,
November,,,,,,,,5.52,2.11,1.11,3.9,2.85,4.62,3.1,1.28,3.43,3.03,1.67,,,6.02,,,,,,,,,
December,,,,,,,,3.83,2.18,1.77,5.56,3.34,3.77,1.69,3.79,1.63,4.65,2.41,,,0.99,,,,,,,,,
Total,,,,,,,,42.97,30.19,31.83,34.75,35.89,37.64,32.47,28.59,32.63,36.17,22.53,,,29.18,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer WH Anderson (father then son) lived on Breeze Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
