HALF MORTON (SOLWAY BANK),,,,,,,,,,,,,,,,,,,,
Grid ref,NY307773,Long,-3.087176,Lat,55.08528,Elevation,460,ft,,,,,,,,,,,,
Station no,5037/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.99,3.19,5.82,3.47,2.67,3.99,4.77,4.06,7.14,5.08,3.28,5.99
February,,,,,,,,,3.27,4.24,3.41,0.92,1.38,3.38,1.55,1.45,3.94,3.43,1.39,5.58
March,,,,,,,,2.25,1.78,4.4,4.84,3.86,0.85,4.62,2.56,2.12,4.65,1.39,2.64,1.39
April,,,,,,,,3.39,3.14,3.72,2.44,4.32,3.89,1.29,2.63,1.25,1.68,1.79,4.23,3.85
May,,,,,,,,1.78,2.27,2.4,1.32,2.75,2.52,3.97,3.05,3.2,3.3,4.08,1.36,2.72
June,,,,,,,,6.55,1.31,5.15,1.86,4.33,1.42,5.14,3.46,2.36,1.49,2.73,3.61,2.46
July,,,,,,,,2.87,3.42,5.16,4.5,2.88,11.58,7.09,3.04,5.64,4.38,5.29,5.02,6.68
August,,,,,,,,8.56,4.03,8.07,5.52,5.29,6.3,5.59,2.06,9.22,4.25,5.39,0.81,3.59
September,,,,,,,,7.28,1.34,9.67,6.74,2.64,4.95,7.57,2.92,3.28,5.27,6.86,2.19,3.46
October,,,,,,,,4.86,6.76,4.16,0.4,4.98,2.59,10.35,3,3.41,4.69,4.45,4.91,3.31
November,,,,,,,,5.23,4.54,3.56,8.56,2.94,9.45,8.1,1.68,2.4,0.99,1.61,5.82,6.75
December,,,,,,,,4.27,7.92,1.85,7.2,4.45,3.47,5.81,6.78,5.46,3.16,3.01,7.54,4.81
Total,,,,,,,,,42.77,55.57,52.61,42.83,51.07,66.9,37.5,43.85,44.94,45.11,42.8,50.59
,,,,,,,,,,,,,,,,,,,,
1948 100s transcribed originally so removed,,,,,,,,,,,,,,,,,,,,
NGR on record changed to be in line with distance/direction from house and then elevation fits too,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
13154,SOLWAY BANK ,NY3089077399,01/01/1949,31/12/1991,,,,,,,,,,,,,,,,
13155,SOLWAY BANK NO 2 ,NY3080077401,01/01/1991,Current ,,,,,,,,,,,,,,,,
