EAST-BILNEY-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF946196,Long,0.88114856,Lat,52.738995,Elevation,155,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,2.27,2.42,4.64,1.94,2.19,1.19,3.3,2.24,4.24,2.26,1.9,2.34,1.17,1.04,1.63,2.35,2.81,3.96,2.5,5.12,1.1,2.49,,,,,,,,,
February,0.82,0.3,3.16,3.01,1.48,2.6,1.69,2.12,1.52,0.52,1.3,2.76,1.2,2.46,0.74,2.02,2.46,3.08,0.81,0.88,1.74,1.93,,,,,,,,,
March,1.49,1.39,2.61,1.34,0.8,1.72,0.54,2.6,1.76,0.2,1.45,0.87,1.78,2.21,1.65,0.44,0.88,3.76,0.44,2.66,2.32,3.27,,,,,,,,,
April,3.43,1.84,2.72,1.17,1.84,1.94,2.2,1.37,1.48,1.1,2.29,3.94,3.17,0.8,2.48,3.62,1.37,2.91,0.59,2.59,1.35,,,,,,,,,,
May,1.97,1.1,0.88,1.77,2.79,2.64,2.36,1.88,2.09,1.47,3.02,3.24,4.45,1.45,1.36,0.94,1,2.51,1.86,0.57,0.49,,,,,,,,,,
June,1.51,0.24,1.59,0.9,1.34,0.77,3.5,4.78,2.66,1.18,3.6,1.79,0.51,2.74,1.47,2.03,3.13,2.18,1.24,2.56,0.28,,,,,,,,,,
July,3.38,0.43,5.05,3.14,1.68,1.64,1.5,2.63,1.91,2.84,5.05,3.26,3.75,2.93,0.9,0.64,5.42,2.41,1.79,1.64,3.76,,,,,,,,,,
August,1.8,1.96,2.04,2.48,1.78,2.09,2.7,3.3,1.78,1.46,3.36,5.44,2.18,1,2.12,1.34,1.32,2.32,0.73,,0.88,,,,,,,,,,
September,1.77,0.97,3.98,1.7,2.33,3.37,2.22,4.08,0.58,1.08,5.24,2.13,2.64,2.54,1.65,4.35,3.08,3.04,2.61,,1.1,,,,,,,,,,
October,1.12,1.85,1.05,3.18,4.47,2.13,2.53,2.98,3.02,3.16,1.04,1.47,4.39,3.68,1.57,2.88,2.02,1.72,2.76,,2.12,,,,,,,,,,
November,0.9,1.45,1.79,2.98,2.02,3.53,3.93,3.5,3.02,3.87,3.64,2.28,1.4,1.59,1.94,3.11,3.29,2.17,2.33,,5.26,,,,,,,,,,
December,2.93,1.85,2.76,3.45,2.26,2.83,1.11,2.38,2.51,4.67,1.69,1.42,0.69,0.59,3.99,1.86,1.73,3.01,3.72,,1.97,,,,,,,,,,
Total,23.39,15.8,32.27,27.06,24.98,26.45,27.58,33.86,26.57,23.81,33.58,30.94,27.33,23.03,21.5,25.58,28.51,33.07,21.38,,22.37,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 May IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
