CROMAR LOGIE COLDSTONE MANSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ431055,Long,-2.941737,Lat,57.136864,Elevation,694,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,-999,0.7,3.12,1.54,1.19,1.95,0.92,2.4,1.12,1.92,0.64,0.84,1.41,2.46,3.29,1.54,2.85,1.14,2.11,0.71,2.86,1.11,2.73,1.88,2.51,4.47,1.12,3.17,0.77,3.18,2.85,3.34,,,,,,,,
February,-999,2.2,4.34,1.48,1,0.93,3.56,3.17,0.65,2.07,2.94,2.47,1.14,3.2,1.93,1.23,0.91,0.76,1.49,4.12,1.37,0.22,2.03,3.56,2.7,1.99,0.51,0.66,2.14,1.67,4.05,3.03,,,,,,,,
March,-999,0.67,2.47,1.57,1.77,1.66,3.33,2.04,2.91,2.58,0.61,1.8,2,3.96,3.18,1.89,2.29,2.42,3.65,1.54,2.99,1.98,1.01,0.36,1.16,4.09,1.73,4.61,1.74,3.89,2.61,3.2,,,,,,,,
April,0.88,3.03,4.3,2.02,0.67,1.11,2.55,2.45,1.13,3.44,2.18,1.21,3.04,1.06,1.44,1.32,0.7,1.7,1.8,4.69,1.36,1.23,0.78,1.05,1.11,0.73,0.97,1.26,4.88,3.66,2.23,1.34,,,,,,,,
May,1.75,0.74,4.43,3.7,1.81,0.92,1.32,1.73,1.53,2.74,0.38,2.91,2,1.55,1.57,4.53,4.64,1.25,1.36,0.63,1.24,2.71,2.6,0.68,4.58,0.64,1.21,2.01,2.12,2.59,1.54,2.69,,,,,,,,
June,1.04,1.9,4.63,1.34,1.07,2.53,1.94,4.31,2.58,2.9,3.96,1.61,3.63,2.28,0.82,1.45,1.07,0.8,2.7,0.91,2.11,0.45,1.8,3.24,1.71,3.58,2.55,4.44,0.91,1.33,2.62,2.03,,,,,,,,
July,2.26,4.36,2,3.49,3.44,4.52,1.12,3.12,0.41,3.17,4.98,3.11,4.99,5.23,3.69,1.37,3.45,1.74,4.05,2.5,2.63,4.47,2.23,2.46,3.51,3.26,2.8,1.72,0.87,2.5,4.04,2.16,,,,,,,,
August,2.19,1.85,2.58,2.38,7.73,2.43,1.55,5.29,7.21,3.61,0.86,3.69,1.73,4.13,1.55,3.4,1.04,1.63,1.49,5.86,2.83,4.57,3.79,3.41,5.66,3.51,1.28,4.04,2.69,0.61,4.95,2.91,,,,,,,,
September,2.07,2.94,5.7,4.44,1.77,2.9,3.07,1.75,3.59,1.17,2.31,3.65,3.5,3.54,1.39,4.71,2.03,3.47,1.35,1.08,1.88,4.35,2.36,3.38,0.97,1.43,4.04,0.95,2.34,4.24,1.58,0.82,,,,,,,,
October,2.4,3,5.3,2.7,3.34,5.27,3.22,2.2,5.56,0.84,2.93,5.17,2.38,1.41,3.58,2.83,3.18,2.44,2.42,2.47,4.69,2.34,5.63,2.63,2.55,5.19,6.26,1.8,4.65,0.9,2.98,2,,,,,,,,
November,2.09,1.8,6,5.57,3.04,4.25,3.1,3.9,6.09,3.37,2.64,2.69,3.92,1.23,3.21,3.52,2.84,2.69,4.38,2.11,4.12,3.31,1.42,4.31,0.67,2.05,1.02,2.08,3.88,1.85,3.17,2.24,,,,,,,,
December,4.04,1.08,3.51,2.15,2.48,1.78,10.2,1.16,3.5,0.31,2.67,0.61,3.93,2.13,1.07,1.81,3.32,2.34,1.5,1.51,1.83,1.6,1.39,1.57,2.22,3.9,5.03,2.85,2.05,3.64,2.87,3.41,,,,,,,,
Total,23.55,24.27,48.38,32.38,29.31,30.25,35.88,33.52,36.28,28.12,27.1,29.76,33.67,32.18,26.72,29.6,28.32,22.38,28.3,28.13,29.91,28.34,27.77,28.53,29.35,34.84,28.52,29.59,29.04,30.06,35.49,29.17,,,,,,,,
