EGREMONT THE GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY032104,Long,-3.495495,Lat,54.479686,Elevation,351,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,2.81,4.59,2.68,3.85,4.18,4.45,5.34,5.19,3.09,,,6.41,7.09,4.32,4.66,5.51,3.52,,,,,
February,,,,,,,,,,3.24,7.44,6.45,3.61,2.72,5.53,7.89,4.41,1.73,,,3.49,0.4,5.22,6.78,1.3,5.65,,,,,
March,,,,,,,,,,4.43,3.54,1.5,6.98,4.66,5.58,3.26,1.1,2.49,,,8.24,6.54,2.82,1.79,1.55,1.59,,,,,
April,,,,,,,,,,4.47,3.06,4.69,0.95,5.03,1.37,4.21,3.79,1.92,,,5.53,2.18,2.57,4.44,2.42,4.48,,,,,
May,,,,,,,,,,3.3,3.97,4.94,2.86,5.15,3.19,1.2,4,3.81,,,5.27,4,5.69,3.2,6.04,7.5,,,,,
June,,,,,,,,,,3.35,2.13,4.9,7.06,3.34,1.52,2.01,3.67,2.45,,,3.19,0.67,3.74,1.95,4.75,1.26,,,,,
July,,,,,,,,,,8.92,5.8,1.47,3.84,1.14,6.3,7.44,4.66,1.69,,,6.19,3.97,8.2,5.79,6.75,2.97,,,,,
August,,,,,,,,,,4.14,7.54,3.29,7.5,3.05,4.83,3.25,3.33,6.5,,,5.21,8.01,5.75,9.61,5.33,5.68,,,,,
September,,,,,,,,,,4.06,1.17,4.68,2.02,3.18,2.49,2.45,3.41,6.52,,,4.23,2.32,2.77,7.58,6.79,4.58,,,,,
October,,,,,,,,,,11.91,2.98,4.95,6.15,6.5,1.77,1.93,7.73,8.28,,,2.4,3.5,3.54,9.84,5.17,7.09,,,,,
November,,,,,,,,,,2.25,6.68,8.27,5.73,5.13,6.66,2.54,6.02,6.22,,,5.43,3.37,3.47,5.61,3.81,3.14,,,,,
December,,,,,,,,,,9.43,6.74,12.19,6.86,3.72,7.17,8.12,5.36,4.4,,,4.15,6.56,6.35,7,8.57,4.16,,,,,
Total,,,,,,,,,,62.31,55.64,60.01,57.41,47.8,50.86,49.64,52.67,49.1,,,59.74,48.61,54.44,68.25,57.99,51.62,,,,,
