LOCH TUMMEL (POWER HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN762591,Long,-4.023795,Lat,56.707136,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5561/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.76,1.02,2.96,5.56,4.3,3.24,5.77,6.03,7.07,3.41,3.39,3.36,3.35,1.48,4.2,2.36,3.25,6.39,4.14,2.31,
February,,,,,,,,,,1.84,3.54,1.41,3.37,1.26,5.06,3.47,0.82,4.84,3.84,5.56,3.34,1.03,1.26,3.85,2.7,2.06,4.36,2.86,0.88,
March,,,,,,,,,,2.79,1.39,2.55,2.63,0.53,2.84,1.36,2.73,4.15,1.44,2.79,1.93,2.78,1.27,2.79,0.97,4.33,3.79,1.27,3.25,
April,,,,,,,,,,3.06,1.07,2.2,2.84,2.53,1.12,0.82,8.15,2.2,3.24,2.78,3.25,1.89,2.16,1.26,1.02,1.63,1.19,1.09,3.59,
May,,,,,,,,,,0.78,2.29,3.48,2.44,3,4.81,1.29,3.97,2.63,2.79,1.69,1.48,4.01,3.46,4.31,2.42,2.28,1.54,2.79,1.31,
June,,,,,,,,,,0.47,1.46,1.25,2.16,3.65,2.87,2.94,3.41,3.92,1.39,1.22,1.69,2.31,2.19,1.75,1.29,2.86,1.34,3.08,,
July,,,,,,,,,,5.45,3.19,2.45,1.45,2.47,3.19,4.11,3.77,1.99,1.16,5.05,2.18,1.64,3.46,1.47,0.84,3.8,5.22,4.43,,
August,,,,,,,,,,1.01,3.57,3.77,4.89,3.07,1.57,2.56,0.05,6.66,3.26,4.87,4.37,3.08,1.62,3.11,1.15,4.44,4.56,4.46,,
September,,,,,,,,,,1.56,1.78,5.52,3.18,2.9,5.2,5.27,3.62,4.53,1.78,6.1,2.76,1.91,3.67,4.04,2.27,6.01,2.43,5.22,,
October,,,,,,,,,,5.47,3.75,3.47,7.82,4.36,4.11,0.43,2.19,3.65,4.14,3.51,1.07,5.11,2.73,6.53,2.89,2.8,2.78,3.49,,
November,,,,,,,,,,6.28,5.47,1.09,2.15,5.43,0.67,5.14,5.27,2.22,3.33,3.37,11.52,1.9,5.81,8.6,2.1,2.32,0.81,0.96,,
December,,,,,,,,,,3.8,4.21,5.97,2.28,4.68,5.54,4.22,1.75,8.62,7.16,1.75,5.57,3.51,4.93,8.49,8.97,7.73,5.61,5.5,,
Total,,,,,,,,,,34.27,32.74,36.12,40.77,38.18,40.22,37.38,41.76,52.48,36.94,42.08,42.52,32.52,34.04,50.4,28.98,43.51,40.02,39.29,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Ja Part est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Np Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5561/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,867126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
