"DALRY (HAINING)",,,,,,,,,,,,
Grid ref,NS264545,Long,-4.767727,Lat,55.752641,,,,,,,
Station no,5249/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.45,7.15,3.35,6.30,4.20,4.65,7.05,7.60,2.60,5.50,,
February,3.55,3.05,3.00,7.00,3.00,2.10,4.85,5.10,3.20,5.70,,
March,4.85,5.25,1.35,4.90,2.55,3.90,7.50,2.20,4.65,2.85,,
April,2.65,2.95,3.00,3.10,6.00,2.00,3.10,2.20,3.75,5.95,,
May,2.50,1.55,3.00,3.75,5.10,3.45,2.65,4.70,2.70,3.20,,
June,2.60,4.55,1.65,5.30,5.40,3.20,3.00,2.95,3.50,4.30,,
July,5.25,4.95,7.00,5.55,0.70,8.40,7.65,5.50,6.75,6.45,,
August,5.30,6.25,6.00,8.50,1.20,7.20,5.55,6.10,1.50,4.90,,
September,5.95,4.30,8.35,8.60,6.55,6.20,4.25,5.50,2.25,4.85,,
October,1.70,7.10,4.35,12.25,3.90,3.75,7.60,6.10,7.81,3.70,,
November,8.35,3.30,10.65,9.75,3.95,2.80,3.70,4.40,7.24,8.65,,
December,9.85,7.50,6.90,8.45,9.86,7.05,7.15,8.30,10.80,7.50,,
Total,59.00,57.90,58.60,83.45,52.41,54.70,64.05,60.65,56.75,63.55,,
Calc annual,59.00,57.90,58.60,83.45,52.41,54.70,64.05,60.65,56.75,63.55,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
