DALRY (HAINING),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS264545,Long,-4.767727,Lat,55.752641,Elevation,890,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5249/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.1,5,0.6,9.5,7.2,7.14,4.9,8.45,8.1,10.72,8.65,5.5,6.45,7.15,3.35,6.3,4.2,4.65,7.05,7.6,2.6,5.5
February,,,,,,,,,9.9,4.05,4.8,3,7.25,3.2,8.95,5.35,1,6,6.85,5.45,3.55,3.05,3,7,3,2.1,4.85,5.1,3.2,5.7
March,,,,,,,,,5.9,6.16,3,4.68,2.05,2,4.35,3.3,5,5.8,5.1,4.75,4.85,5.25,1.35,4.9,2.55,3.9,7.5,2.2,4.65,2.85
April,,,,,,,,,3.9,3.15,3.05,2.9,5.55,4.1,3.6,3.05,6.25,4.35,8.35,4.25,2.65,2.95,3,3.1,6,2,3.1,2.2,3.75,5.95
May,,,,,,,,,1.3,1.08,3.85,3.3,3.95,5.25,5.05,1.1,5.95,2.6,2.95,1.3,2.5,1.55,3,3.75,5.1,3.45,2.65,4.7,2.7,3.2
June,,,,,,,,,3.95,1.22,2.25,3.1,4.95,5.05,4.75,4.15,5.4,6.55,1.45,3.1,2.6,4.55,1.65,5.3,5.4,3.2,3,2.95,3.5,4.3
July,,,,,,,,,9.2,3.22,5.2,6.2,3.48,5.7,4.2,5.8,4.2,5.8,2.05,6.95,5.25,4.95,7,5.55,0.7,8.4,7.65,5.5,6.75,6.45
August,,,,,,,,,2.35,3.65,7.2,10.05,9.32,3.85,2.75,3.4,0.1,9.55,7.15,8.6,5.3,6.25,6,8.5,1.2,7.2,5.55,6.1,1.5,4.9
September,,,,,,,,,5.3,7.1,3.2,8.8,4,8.2,6.95,11.2,6.75,9.45,3.9,13.2,5.95,4.3,8.35,8.6,6.55,6.2,4.25,5.5,2.25,4.85
October,,,,,,,,,3.03,7.16,7.15,9.25,12.95,9.6,9.65,0.45,3.65,11.25,9.05,5.75,1.7,7.1,4.35,12.25,3.9,3.75,7.6,6.1,7.81,3.7
November,,,,,,,,,12.55,10.65,5.6,1.35,4.6,8.45,0.95,10.7,8.65,5.15,9.15,4.3,8.35,3.3,10.65,9.75,3.95,2.8,3.7,4.4,7.24,8.65
December,,,,,,,,,5.95,10.1,3.6,9.75,4.31,6.85,6.15,7.45,3.95,9.2,11.25,2.75,9.85,7.5,6.9,8.45,9.86,7.05,7.15,8.3,10.8,7.5
Total,,,,,,,,,70.43,62.54,49.5,71.88,69.61,69.39,62.25,64.4,59,86.42,75.9,65.9,59,57.9,58.6,83.45,52.41,54.7,64.05,60.65,56.75,63.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Comment looks a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
little Low  butPrinted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5249/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,647962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
