GARSTANG (WINMARLEIGH HALL),,,,,,,,,,
Grid ref,SD469480,Long,-2.8101,Lat,53.925396,Elevation,68,ft,,
Station no,3040/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.46,3.78,3.58,3.82,2.8,4.65
February,,,,,1.86,0.56,3.08,5.08,0.65,2.89
March,,,,,1.43,0.96,2.51,1.75,1.97,1.39
April,,,,,2.13,1.13,0.48,1.45,2.47,2.56
May,,,,2.9,3.13,1.99,2.76,4.07,1.33,3.2
June,,,,4.97,3.46,2.76,1.88,4.72,3.64,1.25
July,,,,5.82,1.38,4.71,3.76,2.94,3.43,5.56
August,,,,6.19,1.06,12.81,4.3,2.75,0.28,4.91
September,,,,7.45,2.6,3.01,5.79,4.8,0.34,3.62
October,,,,9.41,2.08,2.83,5.89,4.09,3.85,2.89
November,,,,5.18,1.87,1.33,0.99,2.48,4.79,8.52
December,,,,4.9,4.14,4,4.11,3.26,8.15,4.24
Total,,,,,27.6,39.87,39.13,41.21,33.7,45.68
,,,,,,,,,,
1951 data crossed out on record so removed,,,,,,,,,,
1106,GARSTANG: WINMARLEIGH ,01/01/1948,31/12/1969,,,,,,,
