KILMARNOCK,,,,,,,,,,,,,,,,,,,,
Grid ref,NS429368,Long,-4.49497,Lat,55.599393,Elevation,74,ft,,,,,,,,,,,,
Station no,5232,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,3.83,3.09,4.38,3.06,4.99,4.97,4.12,2.98,,,,,,,,
February,,,,,2.63,2.94,3.02,3.7,3.33,3.55,5.34,3.51,,,,,,,,
March,,,,,1.89,4.14,3.16,4.41,4.03,1.86,1.74,1.38,,,,,,,,
April,,,,,4.25,2.39,1.71,2.52,1.97,3.7,3.39,3.02,,,,,,,,
May,,,,,3.01,2.05,4.6,3.9,2.24,2.41,2.3,2.27,,,,,,,,
June,,,,,1.36,1.47,1.18,3.86,2.66,3.19,1.25,2.41,,,,,,,,
July,,,,,3.5,3.38,3.83,2.69,3.12,4.83,3.28,2.39,,,,,,,,
August,,,,,5.41,4.28,4.74,4.37,4.11,3.93,7.16,3.1,,,,,,,,
September,,,,,4.07,4.34,1.83,1.39,5.28,2.28,1.81,2.27,,,,,,,,
October,,,,,1.94,3.57,5.98,6.5,1.04,6.59,2.76,3.05,,,,,,,,
November,,,,,3.68,3.29,4.15,3.55,4.18,2.5,3.15,4.62,,,,,,,,
December,,,,,2.89,4.06,5.26,4.64,4.21,4.93,4.17,5.18,,,,,,,,
Total,,,,,38.46,39,43.84,44.59,41.16,44.74,40.47,36.18,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1911 Feb has ?,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
No entries regarding above,,,,,,,,,,,,,,,,,,,,
