"KILMARNOCK",,,,,,,,,,,,
Grid ref,NS429368,Long,-4.494970,Lat,55.599393,,,,,,,
Station no,5232,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.83,3.09,4.38,3.06,4.99,4.97,,
February,,,,,2.63,2.94,3.02,3.70,3.33,3.55,,
March,,,,,1.89,4.14,3.16,4.41,4.03,1.86,,
April,,,,,4.25,2.39,1.71,2.52,1.97,3.70,,
May,,,,,3.01,2.05,4.60,3.90,2.24,2.41,,
June,,,,,1.36,1.47,1.18,3.86,2.66,3.19,,
July,,,,,3.50,3.38,3.83,2.69,3.12,4.83,,
August,,,,,5.41,4.28,4.74,4.37,4.11,3.93,,
September,,,,,4.07,4.34,1.83,1.39,5.28,2.28,,
October,,,,,1.94,3.57,5.98,6.50,1.04,6.59,,
November,,,,,3.68,3.29,4.15,3.55,4.18,2.50,,
December,,,,,2.89,4.06,5.26,4.64,4.21,4.93,,
Total,,,,,38.46,39.00,43.84,44.59,41.16,44.74,,
Calc annual,0.00,0.00,0.00,0.00,38.46,39.00,43.84,44.59,41.16,44.74,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
