KILMARNOCK (KAY PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 43248 38177,Long,-4.490231,Lat,55.611865,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,9.73,1.62,5.06,4.92,6.95,3.94,4.86,2.71,4.17,4.55,5.75,3.64,2.67,0.66,5.85,4.11,5.21,3.95,4.53,2.97,7.57,5.62,
February,,,,,,,,,3.61,1.97,0.19,4.03,0.05,3.56,0.63,4.97,1.54,4.76,1.73,5.03,1.44,2.17,1.48,5.05,1.77,6.51,2.7,0.42,3.74,4.79,
March,,,,,,,,,1.93,1.22,2.39,1,2.79,2.48,2.09,2.56,2.35,0.86,3.65,3.52,4.59,3.02,1.81,2.36,0.45,2.98,2.73,2.44,3.8,2.72,
April,,,,,,,,,1.36,1.34,1.64,2.1,3.29,2.82,3.07,2.93,1.07,1.71,0.66,2.22,1.94,1.61,1.97,3.02,3.33,1.64,2.21,5.18,2.83,4.74,
May,,,,,,,,,1.74,3,1.53,2.73,2.84,2.11,3.43,0.64,1.76,1.53,3.79,0.84,0.82,3.36,3.14,3.65,3.23,4.07,1.81,4.23,1.59,2.13,
June,,,,,,,,,4.15,3.2,3.31,5.6,1.42,2.35,2.03,3.95,1.8,3.25,4.5,2.08,0.88,1.23,1.3,3.21,3.52,4.38,2.76,3.05,6.75,1.23,
July,,,,,,,,,2.7,4.26,2.72,4.3,4.44,4.05,3.08,2.04,6.09,5.03,4.78,4.6,3.75,4.66,3.51,2.68,3.92,3.81,3.59,4.31,4.07,1.87,
August,,,,,,,,,3.84,6.7,5.79,1.47,2.17,3.7,3.77,1.9,4.33,3.34,2.73,2.39,2.89,5.13,5.69,5.2,3.8,2.28,2.09,0.14,6.83,5.41,
September,,,,,,,,,3.96,1.81,2.69,1.33,4.75,0.75,4.94,6.17,3.81,2.55,4.16,2.34,5.01,1.84,4.86,2.63,5.63,4.29,7.27,5.41,6.75,2.66,
October,,,,,,,,,7.08,5.33,6.41,3.58,6,2.89,6.95,8.13,5.28,2.81,10.37,1.3,4.27,3.96,5.74,7.23,5.64,6.01,0.49,2.01,6.22,6.7,
November,,,,,,,,,5.33,6.74,4.87,6.8,3.81,1.89,1.13,4.5,3.97,0.61,6.1,8.14,5,2.34,0.96,2.65,6.42,0.39,5.49,7,3.62,4.86,
December,,,,,,,,,3.72,8.59,3.86,4.57,7.22,1.62,5.18,2.97,6.11,2.67,2.22,2.92,6.13,2.07,4.8,2.69,4.99,2.76,3.81,2.68,4.87,,
Total,,,,,,,,,49.15,45.78,40.46,42.43,45.73,32.16,41.16,43.47,42.28,33.67,50.44,39.02,39.39,32.05,41.11,44.48,47.91,43.07,39.48,39.84,58.64,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
