"LERWICK OBSERVATORY (SHELTERED GAUGE)",,,,,,,,,,,,
Grid ref,HU452398,Long,-1.188009,Lat,60.140225,,,,,,,
Station no,5831/11,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,6.22,7.13,7.13,6.43,2.73,,
February,,,,,,1.77,5.03,2.55,1.94,17.08,,
March,,,,,,2.63,4.68,1.90,1.89,1.09,,
April,,,,,,2.16,2.89,1.99,3.39,3.52,,
May,,,,,,3.13,2.63,4.26,1.66,1.68,,
June,,,,,,2.69,2.53,0.61,3.15,2.96,,
July,,,,,,4.11,3.06,3.66,2.57,1.39,,
August,,,,,,2.55,3.72,4.13,2.61,1.13,,
September,,,,,,2.63,4.91,4.77,1.71,3.43,,
October,,,,,,6.28,7.93,5.71,4.26,2.92,,
November,,,,,,4.81,4.81,3.50,6.32,5.37,,
December,,,,,,6.87,6.26,4.68,8.12,5.66,,
Total,,,,,,45.85,55.58,44.89,44.05,48.96,,
Calc annual,0.00,0.00,0.00,0.00,0.00,45.85,55.58,44.89,44.05,48.96,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
