LERWICK HARBOUR (Capt G Allison Harbour Master),,,,,,,,,,,,,,,,,,,,
Grid ref,HU 476 413,Long,-1.143267,Lat,60.153833,Elevation,30,ft,,,,,,,,,,,,
Station no,5831,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,4.24,5.07,5.43,5.43,4.15,4.93,3.55,4.22,6.18,5.7,,,,,,,,
February,,,2.13,4.97,3.85,3.44,5.59,3.67,3.86,1.26,3.79,4.34,,,,,,,,
March,,,4.7,5.82,3.12,2.81,3.16,3.21,2.9,2.28,2.84,2.81,,,,,,,,
April,,,2.35,2.62,4.99,3.46,2.57,1.93,1.51,1.82,5.09,3,,,,,,,,
May,,,2.32,0.82,2.55,1.58,3.45,1.49,2.28,1.9,2.62,1.93,,,,,,,,
June,,,2.74,2.37,1.57,0.98,1.26,3.05,1.88,1.14,1.4,2.7,,,,,,,,
July,,,1.78,2.23,1.23,2.68,3.56,1.11,1.53,2.63,1.03,1.73,,,,,,,,
August,,,2.33,3.07,2.91,3.5,3.47,4.09,2.17,1.86,3.91,3.11,,,,,,,,
September,,3.06,1.94,3.8,2.06,2.12,2.79,2.75,2.59,1.51,2.12,3.25,,,,,,,,
October,,4.79,2.99,6.59,4.59,4.38,4.43,3.35,0.96,4.22,1.94,1.53,,,,,,,,
November,,2.85,2.11,3.85,4.14,4.1,3.15,4.51,4.13,4.35,7.83,5.46,,,,,,,,
December,,6.18,5.28,3.83,5.55,2.85,4.72,3.31,3.32,5.32,5.38,7.24,,,,,,,,
Total,,,34.91,45.04,41.99,37.33,42.3,37.4,30.68,32.51,44.13,42.8,,,,,,,,
