"LERWICK OBSERVATORY (TURF WALL)",,,,,,,,,,,,
Grid ref,HU453397,Long,-1.186231,Lat,60.139316,,,,,,,
Station no,5831/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,4.62,2.74,,
February,,,,,,,,,1.66,6.17,,
March,,,,,,,,,1.76,1.09,,
April,,,,,,,,,3.21,3.11,,
May,,,,,,,,,1.57,1.61,,
June,,,,,,,,,2.89,2.95,,
July,,,,,,,,,2.42,1.41,,
August,,,,,,,,3.69,2.37,1.16,,
September,,,,,,,,4.61,1.45,3.12,,
October,,,,,,,,5.17,3.95,3.07,,
November,,,,,,,,3.01,5.86,5.20,,
December,,,,,,,,4.30,7.76,4.86,,
Total,,,,,,,,,39.52,36.49,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.78,39.52,36.49,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
