"LERWICK",,,,,,,,,,,,
Grid ref,HU471414,Long,-1.153436,Lat,60.154376,,,,,,,
Station no,5831,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,4.24,5.07,5.43,5.43,4.15,4.93,3.55,4.22,,
February,,,2.13,4.97,3.85,3.44,5.59,3.67,3.86,1.26,,
March,,,4.70,5.82,3.12,2.81,3.16,3.21,2.90,2.28,,
April,,,2.35,2.62,4.99,3.46,2.57,1.93,1.51,1.82,,
May,,,2.32,0.82,2.55,1.58,3.45,1.49,2.28,1.90,,
June,,,2.74,2.37,1.57,0.98,1.26,3.05,1.88,1.14,,
July,,,1.78,2.23,1.23,2.68,3.56,1.11,1.53,2.63,,
August,,,2.33,3.07,2.91,3.50,3.47,4.09,2.17,1.86,,
September,,3.06,1.94,3.80,2.06,2.12,2.79,2.75,2.59,1.51,,
October,,4.79,2.99,6.59,4.59,4.38,4.43,3.35,0.96,4.22,,
November,,2.85,2.11,3.85,4.14,4.10,3.15,4.51,4.13,4.35,,
December,,6.18,5.28,3.83,5.55,2.85,4.72,3.31,3.32,5.32,,
Total,,,34.91,45.04,41.99,37.33,42.30,37.40,30.68,32.51,,
Calc annual,0.00,16.88,34.91,45.04,41.99,37.33,42.30,37.40,30.68,32.51,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
