SHIPHAM-STUDLEIGH-END,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST443572,Long,-2.80043,Lat,51.31181,Elevation,540,ft,,,,,,,,,,,,,
Station no,2029,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,4.8,2.6,4.96,3.79,5.85,1.41,4.89,2.81,3.89,2.58,3.11,0.62,3.45,4.99,3.93,,
February,,,,,0.41,4.35,2.79,3.53,2.66,0.97,1.01,2.34,0.06,4,0.42,3.05,1.77,5.35,1.24,1.76,
March,,,,,1.68,0.55,0.93,3.32,2.95,0.18,2.41,0.97,2.17,2.23,2.87,0.98,3.32,3.15,0.36,1.21,
April,,,,,3.4,2.35,2.21,1.65,1.49,0.85,3.39,2.55,3.41,1.67,2.61,5,2.84,2.9,0.14,3.33,
May,,,,,3.98,3.92,2.63,1.31,1.22,2.41,1.85,3.7,5.35,2.03,1.65,1.76,1.55,2.84,1.72,1.02,
June,,,,,4.1,0,2.1,3.49,2.52,2.61,0.95,5.08,1.24,1.67,2.07,3.66,3.04,1.02,1.13,2.33,
July,,,,,4.13,4.62,2.88,4.07,3.52,1.85,3.06,4.8,3.37,2.49,0.75,0.49,6.24,4.14,3.79,,
August,,,,,5.74,6.44,3.58,4.79,3.21,5.84,9.05,4.88,1.17,1.75,4.4,1.94,0.87,1.26,5.6,4.74,
September,,,,,4.75,4.23,2.2,,1.12,0.72,4.35,2.69,6.59,2.21,3.69,7.14,2.94,2.45,3.17,1.11,
October,,,,,4.16,4.1,,2.99,6.43,7.41,4.45,1.25,7.39,3.04,3.49,5.73,2.52,3.93,6.73,2.26,
November,,,,,3.62,2.4,5.98,3.48,2.59,9.48,4.39,4.84,2.35,1.46,0.97,7.14,3.74,2.41,4.96,7.96,
December,,,,,3.49,3.39,0.46,3.12,2.89,7,4.52,1.24,2.48,0.65,10.56,4.28,2.31,1.91,3.58,2.41,
Total,,,,,44.26,38.95,,,36.45,40.73,44.32,37.15,39.47,25.78,36.59,41.79,34.59,36.35,36.35,,
,,,,,,,,,,,,,,,,,,,,,
1927 Sept Part estimated,,,,,,,,,,,,,,,,,,,,,
1930 Aug 23 Gauge moved 14yds NE,,,,,,,,,,,,,,,,,,,,,
1934 In brackets above total it says High,,,,,,,,,,,,,,,,,,,,,
1938 Total corrected as all monthly values transcribed as written,,,,,,,,,,,,,,,,,,,,,
1939 Jan July Estimated,,,,,,,,,,,,,,,,,,,,,
1939 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1939 Station terminated due to ill health of observer,,,,,,,,,,,,,,,,,,,,,
