ROPLEY-VICARAGE,,,,,,,,,,
Grid ref,SU639318,Long,-1.08885,Lat,51.08244,Elevation,375,ft,,
Station no,RR7585,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,2.56,4.13,2.24,1.18,0.91
February,,,,,,5.16,0.77,0.91,1.16,2.97
March,,,,,,1.81,1.89,1.76,3.33,3.02
April,,,,,,1.6,2.26,1.76,2.12,2.04
May,,,,,,4.64,3.87,1.47,2.92,2.02
June,,,,,,2.11,0.67,0.91,2.5,0.84
July,,,,,,0.25,2.67,1.19,5.12,2.47
August,,,,,,0.9,2.02,2.59,2.25,2.68
September,,,,,,7.39,2.27,2.77,1.82,1.13
October,,,,,,4.2,5.54,1.29,1.89,5.52
November,,,,,,3.27,3.76,4.88,5.15,1.48
December,,,,,,1.76,5.96,2.2,1.94,1.91
Total,,,,,,35.65,35.81,23.97,31.38,26.99
,,,,,,,,,,
1885 Gauge moved 50yds,,,,,,,,,,
1889 Station terminated on death of observer,,,,,,,,,,
