FARNHAM-BOUNDSTONE-(NEW-GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SU831437,Long,-0.81229,Lat,51.18698,Elevation,370,ft,,,,,,,,,,,,
Station no,187/4/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,3.02,2.76,3.57,6.59,2.22,2.16,3.09,2.7,5.99,,
February,,,,,,,,,,3.02,3.07,0.69,1.64,0.83,2.57,2.77,1.54,,,
March,,,,,,,,,,3.24,3.82,2.14,0.52,0.28,0.88,1.16,5.29,,,
April,,,,,,,,,,1.5,1.44,1.9,1.2,1.19,1.52,2.71,2.43,,,
May,,,,,,,,,,0.85,2.13,3.31,2.79,0.46,1.55,3.36,1.46,,,
June,,,,,,,,,,1.37,1.59,0.28,1.59,1.94,2.02,2.6,2.1,,,
July,,,,,,,,,,2.68,2.82,1.84,1.85,1.55,4.33,2.49,1.7,,,
August,,,,,,,,,,0.06,5.16,3.01,1.7,1.38,1.08,4.9,0.42,,,
September,,,,,,,,,,1.75,0.12,1.53,1.99,2.34,2.65,4.61,1.58,,,
October,,,,,,,,,,4.32,1.35,3.45,3.15,4.5,3.86,1.07,0.7,,,
November,,,,,,,,,,8.68,3.19,1.96,1.97,4.65,0.53,5.6,1.43,,,
December,,,,,,,,,,1.69,2.05,4.14,1.87,2.81,4.01,3.35,2.8,,,
Total,,,,,,,,,32.51,32.18,29.5,27.82,26.86,24.15,27.16,37.71,24.15,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1939 Total taken from reverse of sheet,,,,,,,,,,,,,,,,,,,,
"Reverse of sheet says ""new MO type gauge supplied in Oct 1938""",,,,,,,,,,,,,,,,,,,,
It was set up about 6ft from old gauge and from 1/1/1940 it will be used as the standard gauge,,,,,,,,,,,,,,,,,,,,
Both new and old gauges are 5in in diameter and rim is 1ft above ground,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1941 Data taken from MWR but it is not an official station, there is already one in Farnham",,,,,,,,,,,,,,,,,,,,
1947 Climat stn moved in 1946 to Rowledge (187/4) and rainfall data rec'd each month for both Rowledge and Boundstone on the one return,,,,,,,,,,,,,,,,,,,,
1948 Data for Boundstone not given since Jan,,,,,,,,,,,,,,,,,,,,
