FARNHAM-BOUNDSTONE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU831437,Long,-0.81229,Lat,51.18698,Elevation,370,ft,,,,,,,,,,,,
Station no,187/4/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,5.52,6.85,3.46,5.89,,,,,,,,,,,
February,,,,,,2.42,5,0.53,1.42,,,,,,,,,,,
March,,,,,,2.04,4.11,0.2,1.26,,,,,,,,,,,
April,,,,,,1.8,2.37,0.07,2.47,,,,,,,,,,,
May,,,,,,0.55,3.71,1.44,1.41,,,,,,,,,,,
June,,,,,,3.15,1.3,0.51,1.56,,,,,,,,,,,
July,,,,,,3.54,0.73,2.57,3.1,,,,,,,,,,,
August,,,,,,0.51,1.19,1.45,1.7,,,,,,,,,,,
September,,,,,,2.62,2.49,1.26,1.53,,,,,,,,,,,
October,,,,,4.16,2.18,3.21,3.32,4.69,,,,,,,,,,,
November,,,,,6.14,3.59,2.46,5.36,5.94,,,,,,,,,,,
December,,,,,3.48,3.56,4.67,4.12,1.63,,,,,,,,,,,
Total,,,,,,31.48,38.09,24.29,32.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Lived at Badgecote Boundstone Rd Found on 1967 OS map,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1937 Oct 7th Inspection Small leak in funnel,,,,,,,,,,,,,,,,,,,,
"Reverse of sheet says ""new MO type gauge supplied in Oct 1938""",,,,,,,,,,,,,,,,,,,,
1939 June 13th Inspection Reading will be taken from standard gauge only and not from old gauge,,,,,,,,,,,,,,,,,,,,
