HALIFAX MIDGLEY MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE015283,Long,-1.978732,Lat,53.751066,Elevation,1350,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,3.3,2.4,4.3,4.7,1.9,3.5,7.1,2.9,2.1,6.9,6.3,4.8,4.3,4.4,1.7,6.2,5,3.4,6,2.2,7.9,5.8,-999,0.66,0.69,5.5,7.48,8.63,2.67,8.04,2.27,2.47,3.17,6.28,2.7,4.88,1.36,5.49,3.41,2.2,2.33,4.37,9.2,5.45,3.69,3.53,4.4,5.37,2.62,6.22,2.04,3.69,2.81,4.83,2.23,5.58,4.57,3.84,6.55,3.35,2.77,3.67,4.63,4.03,8.04,4.2,3.95,2.87,,,,,,
February,,,,,,,,2.6,3.7,3.2,3,5.4,1,3.8,3.1,4.9,6.9,5.1,4,7.2,3,4.4,5.2,1.3,1.6,1.5,5.8,5.2,3.7,-999,4.47,6.4,4.65,3.43,3.99,4.75,1,1.16,1.43,2.53,0.87,0.9,3.49,4.8,7.73,0.92,2.48,3.04,4.99,2.17,4.55,2.11,1.5,6.2,5.01,2.96,3.38,2.48,3.27,2.61,5.4,5.1,2.32,2.45,3.08,4.48,5.53,1.07,4.98,1.58,3.18,0.33,4.29,5.92,1.25,,,,,,
March,,,,,,,,2.6,3.9,8.8,4.5,7.4,5.5,1.3,4.1,2.1,2.2,3.2,4.5,2.8,3.1,1.4,4,3,4.8,2,5,3.4,3.2,2.75,3.75,7.45,5.72,0.92,2.77,2.45,3.9,2.47,4.02,3.53,4.43,2.86,0.91,1.54,4.16,4.28,6.08,5.3,1.98,2.94,1.16,3.73,3.34,6.92,2.67,3.65,2.94,4.08,4.21,3.47,0.97,2.57,4.49,6,5.31,1.38,4.49,2.7,1.65,3.35,3.28,2.71,3.82,2.26,1.77,,,,,,
April,,,,,,,,5,3.7,5.7,4,1.3,3.6,3.1,1.4,2,1.7,8,3.2,1.9,2.5,4.7,4.4,0.8,1.7,1.6,3.1,3.4,2.2,2.83,2.14,2.17,6.04,2.76,2.3,2.75,3.52,1.47,3.91,3.23,1.71,2.25,1.58,1.14,2.41,3.14,2.11,3.53,3.98,3.98,2.92,3.45,2.46,2.69,3.62,3.52,1.77,3.03,2.82,3.95,5,2.2,1.3,4.79,1.37,1.58,3.14,1.35,1.34,1.86,6.24,1.71,4.23,2.86,2.61,,,,,,
May,,,,,,,,2.2,3.7,0.5,5.2,0,5.2,2.6,2.3,3.1,1.3,3.5,1.7,5.8,2.4,2.3,2.9,3.1,1.8,2.3,1.2,2.9,4.9,1.95,3.06,3.47,2.26,1.51,2.38,3.7,4.63,2.58,1.12,2.55,4.09,4.62,4.64,2.38,2.6,0.97,0.68,1.7,3.73,3.15,2.2,1.47,3.85,4.08,3.36,0.9,3.19,3.43,2.56,3.02,2.91,1.48,3.3,3.73,1.76,2.56,3.16,2.53,3.66,1.7,5.1,2.47,0.89,4.1,5.29,,,,,,
June,,,,,,,,3.2,4.6,2.5,7.2,2.3,4.8,4.7,2.7,1.2,5.8,2.7,0.2,1.2,2,3.7,6.8,1.6,1.6,4.5,3.3,1.6,3.1,6.28,4.95,2.62,6,3.81,1.24,3.84,2.24,0.3,2.56,1.02,4.03,2.08,4.31,3.33,3.74,2.57,3.46,4.64,3.8,2.3,4.56,1.72,1.72,1.62,1.61,2.27,1.85,6.27,2.31,2.75,3.36,3.81,8.06,2.43,3.39,0.57,2.81,2.1,1.83,1.42,3.18,0.18,2.35,1.16,2.85,,,,,,
July,,,,,,,,3.5,3.2,5,2.3,6.6,4,1.6,1.6,1.7,4.8,5.5,0.4,0.4,1.4,5.7,4.7,4,2.2,6.6,3.6,4.7,1.2,8.08,5.99,6.14,6.01,4.8,5.43,2.04,6.29,2.54,6.31,3.67,3.52,4.14,4.04,4.02,4.31,7.46,2.93,2.19,1.52,2.11,2.84,2.02,4.16,5.69,2.45,2.65,2.68,2.82,4.65,5.64,4.57,0.85,7.56,1.44,3.9,5.26,2.5,2.14,2.75,2.92,7.8,1.96,5.05,4.29,4.41,,,,,,
August,,,,,,,,7.1,3.4,5.5,6.7,4.7,3,5,1.4,6.4,6.8,1.9,4.8,2,1.9,1.9,6.7,4.6,5.6,3.4,3.9,4.5,6.8,5.89,2.61,5.57,3.4,3.66,1.73,1.89,2.01,2.17,4.08,6.5,7.3,8.41,5.03,4.08,5.54,5.35,2.77,4.86,6.08,2.03,6.67,2.84,4.03,5.33,5.36,5.64,4.66,3.71,3.44,3.26,5.58,2.27,7.01,1.62,2.93,6.32,3.16,6.36,2.99,3.54,1.89,5.63,6.99,6,4.89,,,,,,
September,,,,,,,,5,6.4,6.3,2.6,5.9,4.1,7,7.5,0.7,8.9,3.9,5.5,7.6,3.2,5.5,7.6,3,4.4,5,5.5,4.2,5.95,3.02,5.4,3.72,2.39,8.98,3.34,6.92,3.74,5.29,1.92,3.55,2.91,4.39,4.45,5.23,0.62,2.2,9.76,5.59,1.03,8.76,1.66,1.6,2.32,5.61,1.6,3.01,1.2,0.93,3.45,3.91,0.33,3.53,2.58,2.23,3.22,0.58,2.45,1.72,11.61,1.86,2.28,1.75,5.13,5.57,4.92,,,,,,
October,,,,,,,,3.2,6.3,2.5,6,1.2,8.6,9.1,4.1,8.1,3.8,4.6,5.7,3.5,11.4,4,6,7,6.2,6.7,3.2,5.7,5.49,3.52,6.74,4.78,5.53,6.87,3.71,7.55,6.88,3.19,2.39,6.08,3.85,5.38,8.85,5.12,6.43,4.93,6.36,2.34,6.43,3.97,5.65,3.86,5.03,12.22,2.37,4.28,6.84,5.95,2.65,5.06,3.72,4.18,5.13,2.97,3.2,1.72,8.12,7.04,3.12,3.68,3.1,2.79,1.21,5.78,4.75,,,,,,
