REETH - ARKLESIDE,,,,,,,,
Grid ref,SE039993,Long,-1.941,Lat,54.389,Elevation,700,ft
Station no,RR6544,,,,,,,
,,,,,,,,
,1919,1920,1921,1922,1923,1924,,
January,6.00,5.15,7.00,3.47,2.98,2.67,,
February,1.90,2.87,0.12,3.54,5.35,0.70,,
March,4.50,4.01,2.56,3.06,1.91,1.42,,
April,2.25,5.79,1.17,3.19,2.70,1.68,,
May,0.75,3.89,1.37,1.33,2.97,5.97,,
June,1.15,1.04,0.15,1.16,0.90,1.96,,
July,2.76,6.83,2.17,5.18,2.87,4.77,,
August,2.80,1.95,3.78,3.21,5.20,1.58,,
September,1.30,1.94,1.40,4.57,2.98,3.53,,
October,5.20,2.73,1.90,1.37,4.38,4.51,,
November,4.13,2.76,2.10,1.52,6.58,2.05,,
December,5.11,4.56,5.44,5.35,2.19,5.72,,
Total,37.85,43.52,29.16,36.95,41.01,36.56,,
,,,,,,,,
TYRain_1910-1919_20_pt1/232,,,,,,,,
TYRain_1920-1930_23_pt1/202,,,,,,,,
