STROMEFERRY (AM MEALLAN),,,,,,,,,,
Grid ref,NG879341,Long,-5.526155,Lat,57.348341,Elevation,750,ft,,
Station no,5788/9/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,9.9,9.9,5.2,6.2
February,,,,,,,4.7,5.3,3.3,5.7
March,,,,,,,6.7,2.1,6,1.3
April,,,,,,,3.6,3.8,5.8,4.8
May,,,,,,,1.9,6.9,2.5,2.3
June,,,,,,,3.4,3.1,6.6,4.4
July,,,,,,,5.5,2.6,8.9,3.4
August,,,,,,,6.6,4.4,4.3,5.2
September,,,,,,,6.2,3.6,3.4,4.1
October,,,,,,8,10.2,9.6,9.1,1.1
November,,,,,,7.9,4.3,3,8.8,6.4
December,,,,,,12.8,10.4,6.7,7.5,10
Total,,,,,,,73.4,61,71.4,54.9
,,,,,,,,,,
1960 NP Low,,,,,,,,,,
,,,,,,,,,,
Station no,5788/9/1,,,,,,,,,
Midas,14102,,,,,,,,,
Hyd Stn,708709,,,,,,,,,
