STROMEFERRY (AM MEALLAN),,,,,,,,,,,
Grid ref,NG 867 340,Long,-5.546682,Lat,57.346346,Elevation,900,ft,,,
Station no,5788/9/1,,,,,,,,,,
,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,,
January,,,,,,7,5.4,5,8.65,,
February,,,,,,5.1,0.21,6.9,7.31,,
March,,,,,,3.7,1.3,4.54,3.03,,
April,,,,,,4.01,8.5,4.5,5.2,,
May,,,,,,1.2,1.54,1.5,,,
June,,,,,4.7,6.7,4.57,3.57,,,
July,,,,,4,8.55,3.54,3.46,,,
August,,,,,3.2,5.71,0,6.1,,,
September,,,,,5.9,6.7,9.2,8.9,,,
October,,,,,3.8,0.57,3.55,7,,,
November,,,,,2,6.4,8.74,7.2,,,
December,,,,,5.25,4.33,2.5,6.2,,,
Total,,,,,,59.97,49.05,64.87,,,
,,,,,,,,,,,
1945 -999 Deleted,,,,,,,,,,,
1946 Transcribed,,,,,,,,,,,
1949 Transcribed,,,,,,,,,,,
1946 NP Low,,,,,,,,,,,
1947 NP Low,,,,,,,,,,,
1948 NP Low,,,,,,,,,,,
,,,,,,,,,,,
Station no,5788/9/1,,,,,,,,,,
Midas,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,
