"STROMEFERRY (AM MEALLAN)",,,,,,,,,,,,
Grid ref,NG874339,Long,-5.535024,Lat,57.345857,,,,,,,
Station no,5788/9/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.10,7.44,4.80,4.80,6.00,4.70,9.90,9.90,5.20,6.20,,
February,3.60,5.19,6.00,4.50,5.80,5.60,4.70,5.30,3.30,5.70,,
March,3.11,4.70,3.00,4.10,2.30,2.30,6.70,2.10,6.00,1.30,,
April,6.34,3.98,5.57,2.50,4.75,2.90,3.60,3.80,5.80,4.80,,
May,1.05,3.53,5.14,3.30,2.60,5.90,1.90,6.90,2.50,2.30,,
June,1.62,4.25,1.40,4.90,3.90,2.90,3.40,3.10,6.60,4.40,,
July,5.10,4.15,8.00,5.29,0.80,5.20,5.50,2.60,8.90,3.40,,
August,5.00,6.55,8.40,3.60,1.70,5.50,6.60,4.40,4.30,5.20,,
September,5.90,6.30,8.00,11.25,8.90,5.10,6.20,3.60,3.40,4.10,,
October,4.55,8.00,6.30,12.70,10.90,8.00,10.20,9.60,9.10,1.10,,
November,6.35,4.00,11.70,9.90,2.30,7.90,4.30,3.00,8.80,6.40,,
December,12.37,9.80,8.80,10.50,10.10,12.80,10.40,6.70,7.50,10.00,,
Total,62.09,67.89,77.11,77.34,60.05,68.80,73.40,61.00,71.40,54.90,,
Calc annual,62.09,67.89,77.11,77.34,60.05,68.80,73.40,61.00,71.40,54.90,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
