ALTNABREAC HRS,,,,,,,,,,,,,,,,,,,,,
Grid ref,ND 003 456,Long,-3.707323,Lat,58.387808,Elevation,500,ft,,,,,,,,,,,,,
Station no,5811,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.99,1.92,1.87,3.5,2.49,4.56,1.75,2.05,2.87,3.7,0.9,,2.68,,,,,
February,,,,4.49,1.74,4.57,2.55,1.44,1.57,0.87,1.34,2.27,0.79,3.6,,2.9,,,,,
March,,,,1.17,1.46,2.61,2.02,1.9,2.92,0.5,1.11,0.98,2.86,1.51,,2.32,,,,,
April,,,,3.07,1.52,2.24,3.53,3.77,1.34,1.68,1.34,1.89,4.15,1.1,,3.6,,,,,
May,,,,4.84,4.13,3.06,3.36,2.32,1.71,1.41,2.09,3.01,3.95,0.69,,1.03,,,,,
June,,,,1.59,1.75,0.39,2.54,3.59,2.93,3.35,2.59,3.04,0.49,1.68,,2.19,,,,,
July,,,,2.27,3.59,2.81,1.85,0.9,2.1,2.12,1.87,3.42,3,3.15,,1.4,,,,,
August,,,,5.49,3.32,1.59,2.01,3.06,3.73,6.01,7.41,1.85,2.73,4.03,,,,,,,
September,,,,3.43,5.01,4.55,2.46,5.72,2.03,4.88,2.96,1.34,4.13,1.2,,,,,,,
October,,,,4.98,2.07,4.19,6.34,5.42,3.53,5.94,4.61,1.87,4.96,4.36,,,,,,,
November,,,2.66,2.88,2.12,2.32,4.08,4.52,4.34,2.91,4.83,2.53,2.88,3.17,,,,,,,
December,,,2.37,3,2.17,3.74,3.69,1.6,3.38,7.08,3.36,2.6,1.57,1.03,,,,,,,
Total,,,,40.2,30.8,33.94,37.93,36.73,34.14,38.5,35.56,27.67,35.21,26.42,,,,,,,
