ALTNABREAC HRS,,,,,,,,,,,,,,,,,,,,
Grid ref,ND 003 456,Long,-3.707323,Lat,58.387808,Elevation,500,ft,,,,,,,,,,,,
Station no,5811,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,2.33,2.69,0.87,1.06,,0.31,,,,,,,
February,,,,,,,,3.54,1.82,1.17,3.85,,1.44,,,,,,,
March,,,,,,,,2.16,3.08,0.75,1.15,,1.53,,,,,,,
April,,,,,,,,1.87,0.59,1.82,1.5,2.91,3.69,,,,,,,
May,,,,,,,,2.42,2.89,1.4,1.5,0.45,0.35,,,,,,,
June,,,,,,,,3.38,2.45,2.45,2.96,2.5,7.38,,,,,,,
July,,,,,,,,2.53,2.76,2.89,4.92,4.58,,,,,,,,
August,,,,,,,,4.04,1.51,4.35,0.13,3.71,,,,,,,,
September,,,,,,,,2.77,2.84,1.8,3.06,1.21,,,,,,,,
October,,,,,,,,3.5,2.94,0.6,3.52,3.86,,,,,,,,
November,,,,,,,,4.76,3.1,3.35,,1.11,,,,,,,,
December,,,,,,,,3.11,1.39,1.33,,2.25,,,,,,,,
Total,,,,,,,,36.41,28.06,22.78,,,,,,,,,,
