HORSHAM-ALBION-TERRACE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ170307,Long,-0.33169917,Lat,51.063723,Elevation,150,ft,,,,,,,,,,,,
Station no,RR6738,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,3.58,1.58,3.99,0.96,6.57,1.49,2.78,0.56,1.5,1.52,2.63,2.45,1.93,,,,
February,,,,2.06,1.81,1.77,2.53,1.59,1.91,3.97,3.32,3.13,1.71,4.04,1.74,2.98,,,,
March,,,,1.89,0.69,1.04,3.02,2.7,1.6,0.74,1.14,2.31,0.91,0.65,1.76,2.28,,,,
April,,,,0.71,1.83,1.04,2.35,3.2,2.42,2.91,1.91,0.42,2.92,1.42,1.57,1.08,,,,
May,,,,1.04,0.62,1.26,0.71,2.02,4.07,3.51,0.22,0.78,1.33,1.7,0.52,3.23,,,,
June,,,,3.1,2.79,2.24,2.36,0.88,1.36,5.2,2.47,1.79,1.96,2.4,1.75,1.36,,,,
July,,,,2.4,2.05,5.53,0.5,2.86,1.19,3.27,3.27,1.55,2.66,2.24,1.8,0.16,,,,
August,,,,2.05,1.92,1.07,2.55,2.77,4.65,4.48,1.37,4.86,1.62,0.68,0.9,0.88,,,,
September,,,,2.54,2.95,2.34,3.8,1.46,1.52,3.43,4.82,2.51,2.68,3.6,3.04,4.34,,,,
October,,,,3.65,4.28,4.75,1.8,2.63,3.42,0.92,6.55,1.46,6.52,2.63,1.35,3.57,,,,
November,,,,2.03,2.6,3.88,2.29,6.07,3.29,1.02,3.47,4.07,2.73,4.18,1.39,2.69,,,,
December,,,,0.55,2.77,0.82,6.83,1.65,1.16,0.7,3.11,3.35,2.74,0.7,3.03,1.28,,,,
Total,,,,25.6,25.89,29.73,29.7,34.4,28.08,32.93,32.21,27.73,29.3,26.87,21.3,25.78,,,,
