"WHITHORN, PHYSGYLL HOUSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX428366,Long,-4.4409727,Lat,54.699806,Elevation,170,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,4.89,2.76,4.46,3.73,7.04,2.13,5,3.72,2.96,3.59,4.01,1.53,4.88,3.31,4.34,4.22,4.28,2.09,,,,,,,,,
February,,,,4.68,0.9,3.83,5,2.31,3.4,2.28,0.48,3.09,0.07,3.38,0.44,3.34,2.16,5.47,1.83,3.39,1.82,2.64,,,,,,,,,
March,,,,1.02,1.85,1.25,1.79,3.74,4.37,1.03,1.6,0.7,2.25,2.14,2.29,1.25,2.29,1.42,1.17,3.05,4.38,3.19,,,,,,,,,
April,,,,2.21,1.87,2.6,1.62,1.85,1.38,1.11,1.56,1.76,3.61,1.4,3.1,2.95,0.78,2.42,0.47,1.82,2.4,1.53,,,,,,,,,
May,,,,2.13,3.36,4.73,2.46,2.32,2.19,2.66,1.38,2.33,3.42,1.97,3.11,0.61,3.28,1.98,3.52,0.77,1.4,2.88,,,,,,,,,
June,,,,1.33,2.57,0.36,2.5,3.06,5.71,1.78,2.02,5.41,1.17,2.24,2.03,3,3.42,3.31,4.3,1.69,1.1,1.06,,,,,,,,,
July,,,,3.5,4.2,2.12,3.88,2.45,3.16,3.75,2.88,3.06,2.69,3.66,1.7,1.4,4.54,5.32,4.74,2.89,3.29,2.93,,,,,,,,,
August,,,,7.88,3.94,3.76,3.91,5.05,4.38,5.11,4.81,3.46,2.26,1.88,3.67,1.41,2.47,2.1,2.18,1.07,1.06,4.47,,,,,,,,,
September,,,,3.59,5.84,3.28,3.38,5.86,1.9,0.88,4.43,2.48,6.31,0.55,4.22,5.04,4.51,2.38,4.14,3.25,3.12,,,,,,,,,,
October,,,,4.37,3.25,3.75,4.35,4.2,8.3,5.95,6.95,2.59,5.49,2.51,5.94,7.18,2.95,3.91,7.31,3.25,4.04,,,,,,,,,,
November,,,,3.92,2.46,2.63,5.87,4.41,6.31,5.31,4.67,8.57,2.83,2.26,1.74,5.02,4.15,1.68,5.62,3.9,6.13,,,,,,,,,,
December,,,,5.37,3.94,4.6,1.44,2.01,3.68,6.88,4.45,3.82,4.74,1.66,9.04,4.27,4.2,4.53,4.31,2.29,4.58,,,,,,,,,,
Total,,,,,39.07,35.67,40.66,40.99,51.82,38.87,40.23,40.99,37.8,27.24,41.29,37,39.63,37.83,43.93,31.59,37.6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Jan 3 and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
