WIMBORNE-ST-JOHNS-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SU016002,Long,-1.97786,Lat,50.80159,Elevation,146,ft,,,,,,,,,,,,
Station no,RR8534,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.12,3.58,1.49,4.87,5.83,0.67,3.52,2.03,1.41,,
February,,,,,,,,,,0.51,4.62,1.87,3.25,1.66,5.35,6.56,6.06,1.17,,
March,,,,,,,,,,4.33,0.86,2.7,4.97,3.22,5.58,0.86,3.52,,,
April,,,,,,,,,,1.48,2.35,1.85,0.11,3.67,1.21,1.53,0.9,,,
May,,,,,,,,,,2.08,1.33,1.03,1.65,2.45,1.3,2.8,1.83,,,
June,,,,,,,,,,3.86,4.04,1.79,4.41,0.7,1.67,0.58,2.22,,,
July,,,,,,,,,,2.73,3.32,0.17,2.71,1.21,4.05,4.49,1,,,
August,,,,,,,,,,2.91,2.25,0.99,7.09,1.56,3.76,1.37,4.37,,,
September,,,,,,,,,,3.36,0.29,1.06,2.3,3.99,1.99,2.4,2.81,,,
October,,,,,,,,,,8.87,5.85,4.55,4.24,4.89,3.42,6.53,5.75,,,
November,,,,,,,,,,0.71,3.6,4.27,2.15,4.13,6.67,3.5,5.48,,,
December,,,,,,,,,,4.59,5.73,8.69,5.17,2.32,9.1,9.56,4.63,,,
Total,,,,,,,,,,36.55,37.82,30.46,42.92,35.63,44.77,43.7,40.6,,,
,,,,,,,,,,,,,,,,,,,,
Royston St Johns Hill,,,,,,,,,,,,,,,,,,,,
House not found but NGR is house now on Royston Drive,,,,,,,,,,,,,,,,,,,,
