CRAPSTONE-BUCKLAND-MONACHORUM,,,,,,,,,,,,,,,,,,,,
Grid ref,SX490677,Long,-4.1291,Lat,50.4901,Elevation,410,ft,,,,,,,,,,,,
Station no,RR1815,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,5.54,2.73,,8.45,,,,,,,,,
February,,,,,,,,2.56,1.56,,2.38,,,,,,,,,
March,,,,,,,,5.03,2.22,,4.7,,,,,,,,,
April,,,,,,,,5.45,7.4,,1.77,,,,,,,,,
May,,,,,,,5.38,4.66,4.37,,6.2,,,,,,,,,
June,,,,,,,,1.84,1.71,,9.8,,,,,,,,,
July,,,,,,,,3,3.3,,3.6,,,,,,,,,
August,,,,,,,,0.7,4.36,,8.31,,,,,,,,,
September,,,,,,,,3.5,3.67,,4.3,,,,,,,,,
October,,,,,,,,5.58,3.17,,3.81,,,,,,,,,
November,,,,,,,,2.22,2.36,,5.23,,,,,,,,,
December,,,,,,,,1.95,7.19,,7.3,,,,,,,,,
Total,,,,,,,,42.03,44.04,,65.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Note says 1857 April 4.45 by Eaton, but total 42.03",,,,,,,,,,,,,,,,,,,,
