TOWARD ( KNOCKDOW GDNS ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS104706,Long,-5.03352,Lat,55.891094,Elevation,101,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.62,8.69,7.3,7.04,5.96,5.12,8.47,8.72,12.54,2.5,8.02,6.9,8.92,5.25,7.12,4.89,4.94,7.14,9.77,4.31,3.36,0.76,11.07,5.85,7.91,4.27,7.26,6.06,9.2,6.48,4.34,6.43,5.6,3.88,6.41,3.39,4.53,6.06,6.93,2.45,3.71
February,9.81,2.22,6.75,5.77,1.91,4.72,6.85,3.82,5.58,3.3,0.27,6.18,0.05,6.11,1.2,7.77,3.21,6.34,3.83,7.56,3.3,4.55,2.11,6.81,2.32,8.36,5.37,0.93,5.57,5.56,4.79,2.81,2.92,2.82,4.89,3.17,1.82,4.79,3.98,2.29,4.4
March,8.17,7.11,2.29,3.22,1.3,4.29,4.67,6.25,6.83,2.03,3.78,1.15,3.24,4.01,3.15,3.27,3.85,1.86,4.97,5.04,4.84,3.05,4.3,3.12,2.44,3.4,3.22,5.64,4.44,4.06,3.63,4.2,4.65,1.73,4.22,2.05,3.26,6.18,1.06,4.26,3.19
April,4.14,2.45,4.07,4.61,3.87,7.59,2.87,4.41,3.07,1.75,2.68,2.72,5.46,4.04,4.21,4.47,1.63,3.19,0.77,3.42,2.69,2.51,2.1,5.35,4.66,2.31,2.67,6.64,3.6,7.81,4.15,2.66,2.72,2.72,2.95,5.66,2.42,3.15,2.24,5.05,5.29
May,9.36,4.48,5.91,2.94,4.83,7.95,3.5,4.74,2.19,4.8,3.23,5.34,2.59,4,6.02,1.3,3.13,1.71,4.85,1.36,1.92,2.31,4.03,5.3,4.2,4.01,1.39,4.73,2.28,2.25,1.55,2.6,1.85,2.68,3.76,4.06,3.18,3.64,5.17,1.77,3.35
June,3.47,1.14,3.66,2.92,3.54,1.17,3.09,5.34,7.52,4.54,3.48,6.21,2.06,3.07,3.45,4.69,2.33,5.15,7.7,2.62,1.46,2.2,2.92,5.53,4.37,5.64,3.75,4.68,5.22,1.49,3.05,2.41,4.15,1.4,4.94,4.43,2.97,2.89,3.62,3.83,3.83
July,5.39,5.32,4.9,4.92,5.95,2.42,3.45,4.52,4.53,4.63,4.03,5.11,3.97,4.31,4.35,4.05,7.46,6.68,5.92,7.96,4.74,4,5.22,2.97,4.81,3.34,4.73,3.83,6.48,2.7,6.41,4.36,3.91,6.46,5.27,1.35,4.86,6.19,5.69,9.2,6.82
August,5.52,8.48,4.03,8.35,5.77,5.72,5.82,8.49,5.46,8.6,8.69,3.01,4.65,5.06,7.31,2.49,3.6,4.32,4.04,2.48,3.09,5.93,6.85,9.55,2.97,2.31,3.3,0.01,7.57,5.73,7.1,4.59,6.88,5.89,5.85,1.45,6.16,5.58,5.87,1.43,4.11
September,4.42,3.61,3.54,8.23,5.83,5.19,4.73,8.29,4.83,2.1,4.73,2.33,5.8,0.91,9.95,7.02,4.66,4.39,6.38,6.01,5.24,2.45,7.5,5.93,6.25,7.46,8.42,5.54,8.03,2.72,11.34,4.13,3.01,6.53,8.51,5.57,4.9,4.1,4.03,2.39,3.24
October,4.17,5.59,2.79,8.55,4.1,5.9,8.49,6.53,10.55,9.02,9.16,5.67,7.98,3.88,11.26,12.84,8.2,3.22,11.82,1.97,7.46,7.04,9.36,10.08,6.97,6.59,0.52,2.51,13,9.79,7.35,2.22,5.63,3.69,9.61,4.56,3.33,5.81,4.91,6.52,3.96
November,7.2,3.76,6.72,6.16,4.18,1.6,7.1,6.69,11.42,9,7.19,10.23,5.29,4.5,2.52,5.92,6.06,1.75,10.81,9.08,8,4.29,1.76,5.39,9.24,0.92,7.2,8.78,4.59,6.04,4.56,7.41,2.98,9.12,8.59,3.43,2.68,2.31,2.64,6.45,7.48
December,5.39,8.48,6,6.38,8.14,3.62,4.35,1.19,6.62,14.66,6.5,7.04,8.97,2.72,10.48,4.42,8.17,3.78,6.39,4.91,7.38,3.12,8.59,3.63,6.03,6.27,6.34,3.62,7.47,10.94,2.35,8.84,6.98,5.57,8.42,7.76,6.66,5.48,7.34,10.76,7.32
Total,73.66,61.33,57.96,69.09,55.38,55.29,63.39,68.99,81.14,66.93,61.76,61.89,58.98,47.86,71.02,63.13,57.24,49.53,77.25,56.72,53.48,42.21,65.81,69.51,62.17,54.88,54.17,52.97,77.45,65.57,60.62,52.66,51.28,52.49,73.42,46.88,46.77,56.18,53.48,56.4,56.7
