"DAYBROOK RAMSDALE HILL RESERVOIR",,,,,,,,,,,,
Grid ref,SK595482,Long,-1.114298,Lat,53.027788,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.36,1.05,1.17,1.08,,
February,,,,,,,2.26,1.64,1.78,0.74,,
March,,,,,,,1.60,1.51,3.06,3.01,,
April,,,,,,,0.40,2.06,2.12,1.41,,
May,,,,,,,2.04,3.68,2.10,1.31,,
June,,,,,,,1.81,3.70,2.63,2.56,,
July,,,,,,,0.40,2.08,3.34,3.96,,
August,,,,,,,1.35,2.42,3.62,3.52,,
September,,,,,,,1.04,0.75,1.56,3.19,,
October,,,,,,,5.66,4.26,1.10,3.20,,
November,,,,,,,3.13,2.26,1.36,0.52,,
December,,,,,,,3.00,2.73,1.41,4.32,,
Total,,,,,,,26.05,28.14,25.25,28.82,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,26.05,28.14,25.25,28.82,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
