PLYMOUTH-EASTERN-KINGS,,,,,,,,,,,,,,,,,,,,
Grid ref,SX466537,Long,-4.15748,Lat,50.36318,Elevation,80,ft,,,,,,,,,,,,
Station no,1634/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,5.43,6.39,2.47,5.03,4.99,5.44,3.15,2.67,,,,,
February,,,,,,,,1.23,1.9,4.85,5.86,0.13,1.75,0.63,3.68,,,,,
March,,,,,,,,0.29,1.08,3.69,3.35,3.64,0.89,0.06,1.44,,,,,
April,,,,,,,,0.14,2.61,2.67,0.77,1.56,0.83,2.27,1.15,,,,,
May,,,,,,,,2.8,1.19,1.97,2.35,4.55,3.29,0.43,3.83,,,,,
June,,,,,,,,1.13,3.83,0.73,3.73,0.21,0.9,2.8,4.41,,,,,
July,,,,,,,,2.98,5.28,2.74,0.86,1.38,2.81,4.6,1.93,,,,,
August,,,,,,,,4.79,3.31,0.08,5.1,2.79,2.7,3.25,2.4,,,,,
September,,,,,,,,1.85,0.51,2.24,0.46,3.55,2.73,1.65,1.82,,,,,
October,,,,,,,,4.18,5.15,3.5,1.61,2.92,3.56,4.05,4.12,,,,,
November,,,,,,,2.96,8.58,7.13,6.94,1.51,1.11,2.2,7.55,0.9,,,,,
December,,,,,,,4.35,3.56,2.97,5.25,3.35,4.55,3.46,3.02,4.73,,,,,
Total,,,,,,,,36.96,41.35,37.13,33.98,31.38,30.56,33.46,33.08,,,,,
,,,,,,,,,,,,,,,,,,,,
1937 Nov 1 Gauge moved to more sheltered position Over exposure produced low readings so removed,,,,,,,,,,,,,,,,,,,,
1943 About 3in low,,,,,,,,,,,,,,,,,,,,
1946 Records low since grain silo was built near the gauge Total for year at least 5 in low,,,,,,,,,,,,,,,,,,,,
1947 Station terminated owing to grain silo construction,,,,,,,,,,,,,,,,,,,,
1946 and 1947 removed due to poor data,,,,,,,,,,,,,,,,,,,,
