BLEAKLOW-HILL-FAR-BLACK-CLOUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK127984,Long,-1.8100944,Lat,53.48217,Elevation,1683,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2644/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,8.28,6.69,3.72,5.48,3.64,4.15,7.44,7.25,6.55,2.74,4.24,4.42,-999,10.05,,6.6,4.6,13.27,3.65,4.18,6.12,6.9,2.67,5.3,4.1,7.3,4.1,5.32,4.55,6.23
February,8.9,0.62,8.1,0.52,8.9,3.04,7.82,3.1,6.15,3.45,7.52,3.22,-999,3.45,7.05,9.8,3.2,4.8,3.8,8.1,5.95,3.8,3.3,4.8,3.1,2.3,4.2,8.03,0.8,2.85
March,1.5,4.05,3.62,6.08,3.41,5.02,3.63,2.78,4.09,4.7,7.55,3.07,2.57,1.05,2.05,2.35,10.2,2.4,2.28,3.22,7.3,3.68,3.55,3.55,4.2,2.85,,3.3,3.05,2.7
April,7.9,7.8,2.35,3.92,4.69,2.82,3.64,0.85,3.69,3.73,4.8,2.91,3.55,3.55,3.15,2.28,4.62,2.85,7.08,6.82,3.83,4.65,4.4,1.3,2.9,3.8,0.9,2.14,6.25,3.15
May,3.35,5.5,2.19,4.02,0.75,2.96,3.44,4.7,3.22,0.98,3.9,5.12,3.7,5.3,3.63,2.94,4.92,2.83,3.9,3.05,4.48,2.85,2.7,4.4,5,1.75,2.1,5.23,2.1,3.1
June,6.71,1.24,3.66,3.1,4.95,4.75,2.46,5.47,3.74,1.12,2.6,1.26,4.84,4.18,5.2,5.4,3.47,7.6,1.53,3.47,1.7,4.04,4.73,3.9,4.8,4.43,2.22,5.47,2.65,2.3
July,6.87,5.65,5.08,4.46,3.23,6.36,4.08,5.4,8.58,5.6,3.4,6.66,3.48,4.25,2.9,6.65,2.74,2.78,3.3,4.1,4.9,3.4,7.72,7.15,1.3,8.8,5.72,6.15,4.13,10.1
August,8.63,2.6,1.71,5.1,2.95,3.14,1.75,4.02,2.97,2.75,8.04,5.86,7.9,7.05,4.05,5.85,0.49,6.81,4.7,5.1,6.6,3.85,5.4,8.3,1.2,13.5,7.95,4.53,0.82,5.4
September,7.6,6.79,2.55,3.65,7.52,7.7,2.35,2.89,3.05,5.28,1.1,5.07,5.02,5.78,3.35,8.41,2.33,3.37,2.55,7.49,4,6.12,4.3,6.6,2.72,5.65,8.95,5.55,0.3,5.7
October,3.07,10.04,6.92,7.54,13.06,7.27,4.09,11.96,5.05,5.8,6.25,9.01,3.95,6.6,7.95,2.31,1.72,4.14,5.05,3.96,1.7,8.85,3,9.4,3.75,3.4,6.33,5.03,3.81,8.95
November,7.2,5.65,4.07,4.36,9.55,8.24,3.45,6.9,10.08,11.45,5.15,1.91,5.1,9.3,1.05,9.6,8.12,2.83,9.68,8.3,12.4,4.72,4.79,9.18,3.35,2.5,3.85,1.73,5.39,7.4
December,3.23,3.18,0.9,7.76,4.52,5.48,4.6,5.93,4.52,6.53,3.9,5.5,3.15,5.93,4.55,5.2,7.33,4.78,8.46,2.81,8.9,4.85,3.22,9.2,6.75,7.05,6.8,5.45,9.27,5.69
Total,73.24,59.81,44.87,55.99,67.17,60.93,48.75,61.25,61.69,54.13,58.45,54.01,56.37,66.49,,67.39,53.74,58.46,55.98,60.6,67.88,57.71,49.78,73.08,43.17,63.33,,57.93,43.12,63.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11887 FAR BLACK CLOUGH Starts 1931 ends 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record. Stated altitude is 50 ft too high or gauge is 200m S to match altitude. Far Black Clough is 400m E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb and Mar 1947, Jan 1949 and Jan to Mar 1955 estimated for snow but left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
