KILMARNOCK (THE MOUNT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS409371,Long,-4.526852,Lat,55.601436,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5229/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,,4.58,6.67,3.99,4.82,2.96,4.77,4.19,6.01,3.7,2.7,0.59,,,,,,,,,
February,,,,,,,,,,,,4.13,0.05,3.31,0.75,5.19,1.86,4.62,1.99,5.13,1.53,2.31,,,,,,,,,
March,,,,,,,,,,,,1.08,2.96,2.8,2.51,2.68,2.71,0.83,3.57,3.8,5.13,3.07,,,,,,,,,
April,,,,,,,,,,,,1.91,3.38,2.58,3.22,2.99,1.28,1.87,0.55,2.22,2.16,1.35,,,,,,,,,
May,,,,,,,,,,,,2.9,3.02,2.49,3.5,0.77,1.93,1.51,3.78,0.77,0.99,3.16,,,,,,,,,
June,,,,,,,,,,,,5.49,1.51,2.82,2.26,3.7,2.2,3.57,4.72,2.12,1.1,1.29,,,,,,,,,
July,,,,,,,,,,,,4.24,4.33,4.24,3.05,1.92,5.57,5.03,4.73,4.8,3.2,4.39,,,,,,,,,
August,,,,,,,,,,,,1.78,2.09,3.77,4.06,2.29,4.61,3.87,2.44,2.04,2.85,5.27,,,,,,,,,
September,,,,,,,,,,,,1.39,4.74,0.85,5.55,6.22,3.8,2.61,4.15,2.54,5.32,2.22,,,,,,,,,
October,,,,,,,,,,,,3.63,6.35,2.97,6.87,8.74,5.3,2.87,10.19,1.49,4.55,4.06,,,,,,,,,
November,,,,,,,,,,,4.94,7.38,4.17,2.28,1.35,4.85,4.3,0.65,6.13,8.67,4.95,2.47,,,,,,,,,
December,,,,,,,,,,,4.21,4.52,7.43,2.44,5.75,3.81,6.24,2.74,2.53,3.09,6.63,2.48,,,,,,,,,
Total,,,,,,,,,,,,43.03,46.7,34.54,43.69,46.12,44.57,34.36,50.79,40.37,41.11,32.66,,,,,,,,,
