CHESTERFIELD-BARLOW-RES,,,,,,,,,,,,,,,,,,,,
Grid ref,SK321748,Long,-1.5201564,Lat,53.269225,Elevation,612,ft.,,,,,,,,,,,,
Station no,RR7996,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,0.96,3.73,1.78,1.9,0.2,0.2,1.63,3.62,,,,,,
February,,,,,,,2.21,2.34,1.22,2.55,2.95,3.92,2.15,2.8,,,,,,
March,,,,,,,2.08,2.53,1.11,1.16,1.84,3.41,2.19,1.14,,,,,,
April,,,,,,0.35,2.81,2.34,1.97,2.65,1.87,1.41,4.17,2.94,,,,,,
May,,,,,,0.81,0.47,3.48,5.49,3.05,2.21,2.46,1.83,0.69,,,,,,
June,,,,,,1.08,2.21,2.77,2.63,5.26,4.05,1.85,5.41,3.23,,,,,,
July,,,,,,4.49,0.85,1.7,0.55,4.06,5.8,1.96,3.38,2.77,,,,,,
August,,,,,,3.25,1.29,4.13,6.88,4.73,2.74,5.9,2.8,1.1,,,,,,
September,,,,,,2.39,3.69,2.4,3.38,1.98,5.13,2.09,1.88,5.17,,,,,,
October,,,,,,5.47,2.69,1.2,4.17,1.76,6.54,3.85,4.97,3.85,,,,,,
November,,,,,,3.57,1.95,1.12,3.27,1.59,3.09,3,5.17,3.45,,,,,,
December,,,,,,0.2,5.46,1.69,1.36,0.9,4.69,3.04,3.2,2.22,,,,,,
Total,,,,,,,26.67,29.43,33.81,31.59,41.11,33.09,38.78,32.98,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is the dam to Crowhole Reservoir, assumed to be Barlow Reservoir. Altitudes match.",,,,,,,,,,,,,,,,,,,,
Relationship to Holmesfield OK but relationship to Barlow church only works if stated as the positon of the gauge to the church and not the usual postion of church relative to gauge,,,,,,,,,,,,,,,,,,,,
