"PENSHURST (SAINTS HILL)",,,,,,,,,,,,
Grid ref,TQ523415,Long,0.176269,Lat,51.152497,,,,,,,
Station no,335/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.85,3.14,2.52,3.09,,
February,,,,,,,4.37,2.01,0.05,2.45,,
March,,,,,,,0.95,1.45,1.67,1.85,,
April,,,,,,,0.24,1.30,2.47,0.70,,
May,,,,,,,1.31,2.05,1.19,1.75,,
June,,,,,,,1.43,5.26,1.01,2.36,,
July,,,,,,,4.14,1.75,1.70,3.26,,
August,,,,,,,2.39,4.09,0.39,5.29,,
September,,,,,,,2.96,3.80,0.16,2.71,,
October,,,,,,,1.12,2.99,3.07,7.34,,
November,,,,,,,3.39,1.64,3.54,5.28,,
December,,,,,,,2.33,4.09,5.89,3.74,,
Total,,,,,,,26.48,33.57,23.66,39.82,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,26.48,33.57,23.66,39.82,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,,
