SALHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG312147,Long,1.418889,Lat,52.680629,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,1.06,2.11,,,,,0.15,1.29,1.52,1.99,1.29,2.32,2.67,1.48,1.23,0.89,2.29,1.95,1.18,2.17,1.6,3.51,1.32,1.95,0.94,2.02,2.75,0.45,1.03,1.29,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.05,1.33,,,,,1.59,3.32,1.73,2.27,0.51,2.21,0.49,0.63,1.92,1.66,0.84,0.05,1.92,1.79,1.15,0.75,0.43,1.98,1.27,1.26,2.74,1.44,0.66,0.27,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.22,0.55,,,,,0.86,1.62,1.39,2.2,1.24,1.21,1.3,1.75,2.95,0.92,2.73,1.41,1.05,0.54,0.92,2.09,3.09,1.99,1.69,1.54,1.2,1.64,0.77,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.31,0.74,,,,,1.93,1.35,2.99,1.84,1.51,1.48,1.84,1.18,1.32,1.98,1.08,1.16,2.11,0.11,2.11,1.23,1.66,1.68,1.09,2.42,1.1,2.17,1.29,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.43,1.3,,,,,0.74,0.7,1.5,1.13,1.13,3.02,2.31,1.91,0.92,3.69,1.43,3.14,1.3,0.81,2.65,0.97,0.53,0.91,2.9,1.97,1.59,0.8,3.77,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.96,,,,,,3.4,1.45,3.02,2.25,0.25,1.3,0.35,1.12,1.1,1.39,2.45,1.04,3.28,1.79,2.9,0.86,2.41,2.43,2.92,0.87,2.7,2.07,2.22,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,1.65,,,,,,4.4,1.72,1.92,3.02,1.72,1.1,4.59,2.09,4.87,4.55,3.66,4.9,3.08,3.27,4.79,3.71,1.26,0.64,1.88,2.01,1.69,1.21,1.94,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.4,,,,,,1.6,3.44,1.49,0.62,1.9,0.87,2.24,3.06,2.07,3.03,1.76,3.91,2.77,2.14,1.99,4.91,1.38,2.1,1.64,0.61,3.78,0.92,2.39,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,3.5,,,,,,2.88,2.65,2.19,2.75,3.51,4.72,1.83,2.45,1.89,3.24,1.26,1.25,2.26,1.63,2.16,0.38,4.27,4.06,0.14,3.64,0.68,0.75,1.37,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,1.09,,,,,,5.03,,4.94,3.19,4.01,7.94,2.57,2.56,2.04,3.52,2.15,3.34,7.6,1.66,3.11,3.7,3.46,0.93,2.61,2.27,2.02,1.9,1.55,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
