"ABERGAVENNY (RICHMOND ROAD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4027,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.58,4.31,5.61,1.85,6.30,5.50,7.25,4.25,6.79,1.86,9.01,
February,0.98,0.14,5.21,13.40,1.38,7.76,2.86,5.11,4.12,1.56,0.93,
March,5.98,2.87,3.33,1.68,1.67,0.60,0.53,4.23,5.44,0.26,3.99,
April,7.92,0.85,4.35,3.60,3.48,3.21,2.24,1.09,1.13,0.97,4.52,
May,2.80,1.32,0.77,2.17,3.88,4.71,2.80,0.82,0.50,2.96,1.35,
June,3.99,0.47,0.50,0.28,1.87,0.20,2.64,3.40,2.30,2.74,0.27,
July,5.32,0.88,5.42,1.82,5.94,3.28,2.65,4.75,1.22,3.05,3.14,
August,1.24,5.00,2.94,2.88,3.39,4.87,2.41,5.07,2.69,1.27,4.67,
September,2.46,1.73,2.63,3.00,6.55,4.47,0.68,4.44,0.88,1.25,5.03,
October,5.54,1.37,1.37,7.78,5.89,5.07,3.53,2.98,7.91,7.41,4.26,
November,2.60,3.43,1.47,3.30,4.21,3.32,11.49,4.14,5.84,13.39,4.75,
December,6.83,2.84,6.81,2.88,7.99,4.94,0.67,3.72,4.27,13.97,5.37,
Total,50.24,25.21,40.41,44.64,52.55,47.75,39.75,44.00,43.09,50.69,47.29,
Calc annual,50.24,25.21,40.41,44.64,52.55,47.93,39.75,44.00,43.09,50.69,47.29,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.18,0.00,0.00,0.00,0.00,0.00,
